Year,Unit measure,Unit multiplier,Observation status,Value
1972,Percentage change (%),Units,Undefined,4.02
1973,Percentage change (%),Units,Undefined,4.88
1974,Percentage change (%),Units,Undefined,-2.73
1975,Percentage change (%),Units,Undefined,-1.09
1976,Percentage change (%),Units,Undefined,3.52
1977,Percentage change (%),Units,Undefined,2.36
1978,Percentage change (%),Units,Undefined,3.66
1979,Percentage change (%),Units,Undefined,2.7
1980,Percentage change (%),Units,Undefined,-1.61
1981,Percentage change (%),Units,Undefined,1.88
1982,Percentage change (%),Units,Undefined,4.03
1983,Percentage change (%),Units,Undefined,4.99
1984,Percentage change (%),Units,Undefined,0.12
1985,Percentage change (%),Units,Undefined,2.85
1986,Percentage change (%),Units,Undefined,2.51
1987,Percentage change (%),Units,Undefined,3.33
1988,Percentage change (%),Units,Undefined,2.36
1989,Percentage change (%),Units,Undefined,-0.03
1990,Percentage change (%),Units,Undefined,0.28
1991,Percentage change (%),Units,Undefined,1.58
1992,Percentage change (%),Units,Undefined,2.85
1993,Percentage change (%),Units,Undefined,3.45
1994,Percentage change (%),Units,Undefined,3.03
1995,Percentage change (%),Units,Undefined,1.28
1996,Percentage change (%),Units,Undefined,1.54
1997,Percentage change (%),Units,Undefined,2.03
1998,Percentage change (%),Units,Undefined,2.6
1999,Percentage change (%),Units,Undefined,2.01
2000,Percentage change (%),Units,Undefined,2.25
2001,Percentage change (%),Units,Undefined,2.13
2002,Percentage change (%),Units,Undefined,1.47
2003,Percentage change (%),Units,Undefined,2.27
2004,Percentage change (%),Units,Undefined,1.27
2005,Percentage change (%),Units,Undefined,2.04
2006,Percentage change (%),Units,Undefined,1.77
2007,Percentage change (%),Units,Undefined,1.59
2008,Percentage change (%),Units,Undefined,-1.12
2009,Percentage change (%),Units,Undefined,-2.7
2010,Percentage change (%),Units,Undefined,1.7
2011,Percentage change (%),Units,Undefined,1.02
2012,Percentage change (%),Units,Undefined,0.39
2013,Percentage change (%),Units,Undefined,0.96
2014,Percentage change (%),Units,Undefined,0.24
2015,Percentage change (%),Units,Undefined,0.62
2016,Percentage change (%),Units,Undefined,0.44
2017,Percentage change (%),Units,Undefined,0.9
2018,Percentage change (%),Units,Undefined,0.19
