Year,Series,Country,Type of Neglected Tropical Disease (NTD),Region of travel,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,239.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,527.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,248.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,389.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,615.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Undefined,,704.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,63.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,0.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,23.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,0.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,21.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,7.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,1.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,11.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,79.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,43.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,10.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,9.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,1.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,16.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,15.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,12.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,1.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,2.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,16.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,5.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,8.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,2.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,1.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,28.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,10.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,13.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,2.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,1.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,2.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Undefined,,300.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Undefined,,227.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Undefined,,13.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Undefined,,12.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Undefined,,10.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Undefined,,6.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Undefined,,2.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Undefined,,30.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Undefined,,176.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Undefined,,5.0
