Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2001/02,,,,,,,,,Undefined,Units,Percentage (%),,68.0860937765
2001/02,Male,,,,,,,,Undefined,Units,Percentage (%),,84.03549880314391
2001/02,Female,,,,,,,,Undefined,Units,Percentage (%),,53.096617922848345
2002/03,,,,,,,,,Undefined,Units,Percentage (%),,65.71513079673647
2002/03,Male,,,,,,,,Undefined,Units,Percentage (%),,81.96650072375839
2002/03,Female,,,,,,,,Undefined,Units,Percentage (%),,50.44783516964759
2003/04,,,,,,,,,Undefined,Units,Percentage (%),,67.98317450562118
2003/04,Male,,,,,,,,Undefined,Units,Percentage (%),,83.60368269869024
2003/04,Female,,,,,,,,Undefined,Units,Percentage (%),,53.25797600438492
2004/05,,,,,,,,,Undefined,Units,Percentage (%),,70.26242897022688
2004/05,Male,,,,,,,,Undefined,Units,Percentage (%),,84.80284274385487
2004/05,Female,,,,,,,,Undefined,Units,Percentage (%),,56.55094237556175
2005/06,,,,,,,,,Undefined,Units,Percentage (%),,68.27897624231028
2005/06,Male,,,,,,,,Undefined,Units,Percentage (%),,82.81551117478963
2005/06,Female,,,,,,,,Undefined,Units,Percentage (%),,54.56886977947831
2006/07,,,,,,,,,Undefined,Units,Percentage (%),,69.03893532593428
2006/07,Male,,,,,,,,Undefined,Units,Percentage (%),,82.89045800167682
2006/07,Female,,,,,,,,Undefined,Units,Percentage (%),,55.9485120177003
2007/08,,,,,,,,,Undefined,Units,Percentage (%),,69.3
2007/08,Male,,,,,,,,Undefined,Units,Percentage (%),,83.0
2007/08,Female,,,,,,,,Undefined,Units,Percentage (%),,56.3
2008/09,,,,,,,,,Undefined,Units,Percentage (%),,70.04666565093463
2008/09,Male,,,,,,,,Undefined,Units,Percentage (%),,83.39308686861618
2008/09,Female,,,,,,,,Undefined,Units,Percentage (%),,57.39225210700855
2009/10,,,,,,,,,Undefined,Units,Percentage (%),,72.53356924800842
2009/10,Male,,,,,,,,Undefined,Units,Percentage (%),,84.73876559170024
2009/10,Female,,,,,,,,Undefined,Units,Percentage (%),,60.94367969347289
2010/11,,,,,,,,,Undefined,Units,Percentage (%),,74.53675390817087
2010/11,Male,,,,,,,,Undefined,Units,Percentage (%),,86.08563182994014
2010/11,Female,,,,,,,,Undefined,Units,Percentage (%),,63.54408855640662
2011/12,,,,,,,,,Undefined,Units,Percentage (%),,75.51578593894111
2011/12,Male,,,,,,,,Undefined,Units,Percentage (%),,87.08260300311319
2011/12,Female,,,,,,,,Undefined,Units,Percentage (%),,64.48216164655682
2012/13,,,,,,,,,Undefined,Units,Percentage (%),,70.4816186669451
2012/13,Male,,,,,,,,Undefined,Units,Percentage (%),,84.72288850522519
2012/13,Female,,,,,,,,Undefined,Units,Percentage (%),,56.65093352951438
2013/14,,,,,,,,,Undefined,Units,Percentage (%),,71.24689954764844
2013/14,Male,,,,,,,,Undefined,Units,Percentage (%),,85.08356364056478
2013/14,Female,,,,,,,,Undefined,Units,Percentage (%),,57.95424582600218
2014/15,,,,,,,,,Undefined,Units,Percentage (%),,73.6875703571393
2014/15,Male,,,,,,,,Undefined,Units,Percentage (%),,85.75433770838818
2014/15,Female,,,,,,,,Undefined,Units,Percentage (%),,61.81505205936627
2015/16,,,,,,,,,Undefined,Units,Percentage (%),,74.70836037038079
2015/16,Male,,,,,,,,Undefined,Units,Percentage (%),,87.8726364451006
2015/16,Female,,,,,,,,Undefined,Units,Percentage (%),,61.70598040835485
