Year,Observation status,Unit measure,Value
2000/01,Normal value,Percentage (%),12.7358490566
2001/02,Normal value,Percentage (%),13.333333333333334
2002/03,Normal value,Percentage (%),13.309002433090026
2003/04,Normal value,Percentage (%),13.619111408796607
2004/05,Normal value,Percentage (%),13.548387096774192
2005/06,Normal value,Percentage (%),13.63813989839781
2006/07,Normal value,Percentage (%),13.660179640718564
2007/08,Normal value,Percentage (%),13.88496824276641
2008/09,Normal value,Percentage (%),13.471838987177406
2009/10,Normal value,Percentage (%),13.56114005516396
2010/11,Normal value,Percentage (%),13.58978167236002
2011/12,Normal value,Percentage (%),12.805329385640263
2012/13,Normal value,Percentage (%),12.3803915795672
2013/14,Normal value,Percentage (%),12.2664735698769
2014/15,Normal value,Percentage (%),12.101820250284412
2015/16,Normal value,Percentage (%),11.826159632260762
2016/17,Normal value,Percentage (%),11.702274293590628
2017/18,Normal value,Percentage (%),11.498397435897436
2018/19,Normal value,Percentage (%),11.42375518672199
2019/20,Normal value,Percentage (%),11.344853493613822
2020/21,Normal value,Percentage (%),9.612883865159546
