Year,Risk of extinction category,Unit measure,Unit multiplier,Observation status,Value
2002,Not at risk,Percentage (%),Units,Undefined,55.9523809524
2003,Not at risk,Percentage (%),Units,Undefined,22.5
2004,Not at risk,Percentage (%),Units,Undefined,26.6666666666666
2005,Not at risk,Percentage (%),Units,Undefined,34.7826086956521
2006,Not at risk,Percentage (%),Units,Undefined,42.5
2007,Not at risk,Percentage (%),Units,Undefined,42.8571428571428
2008,Not at risk,Percentage (%),Units,Undefined,35.9375
2009,Not at risk,Percentage (%),Units,Undefined,36.4864864864864
2010,Not at risk,Percentage (%),Units,Undefined,37.1794871794871
2011,Not at risk,Percentage (%),Units,Undefined,37.6470588235294
2012,Not at risk,Percentage (%),Units,Undefined,48.4662576687116
2013,Not at risk,Percentage (%),Units,Undefined,51.5625
2014,Not at risk,Percentage (%),Units,Undefined,51.4925373134328
2015,Not at risk,Percentage (%),Units,Undefined,51.9774011299435
2016,Not at risk,Percentage (%),Units,Undefined,51.2820512820512
2017,Not at risk,Percentage (%),Units,Undefined,47.1153846153846
2018,Not at risk,Percentage (%),Units,Undefined,56.3218390804596
2002,Endangered,Percentage (%),Units,Undefined,39.2857142857142
2003,Endangered,Percentage (%),Units,Undefined,62.5
2004,Endangered,Percentage (%),Units,Undefined,60.0
2005,Endangered,Percentage (%),Units,Undefined,52.1739130434782
2006,Endangered,Percentage (%),Units,Undefined,42.5
2007,Endangered,Percentage (%),Units,Undefined,42.8571428571428
2008,Endangered,Percentage (%),Units,Undefined,48.4375
2009,Endangered,Percentage (%),Units,Undefined,50.0
2010,Endangered,Percentage (%),Units,Undefined,52.5641025641025
2011,Endangered,Percentage (%),Units,Undefined,54.1176470588235
2012,Endangered,Percentage (%),Units,Undefined,42.9447852760736
2013,Endangered,Percentage (%),Units,Undefined,39.84375
2014,Endangered,Percentage (%),Units,Undefined,39.5522388059701
2015,Endangered,Percentage (%),Units,Undefined,36.7231638418079
2016,Endangered,Percentage (%),Units,Undefined,41.025641025641
2017,Endangered,Percentage (%),Units,Undefined,45.1923076923076
2018,Endangered,Percentage (%),Units,Undefined,37.9310344827586
2002,Critical,Percentage (%),Units,Undefined,4.76190476190476
2003,Critical,Percentage (%),Units,Undefined,15.0
2004,Critical,Percentage (%),Units,Undefined,13.3333333333333
2005,Critical,Percentage (%),Units,Undefined,13.0434782608695
2006,Critical,Percentage (%),Units,Undefined,15.0
2007,Critical,Percentage (%),Units,Undefined,14.2857142857142
2008,Critical,Percentage (%),Units,Undefined,15.625
2009,Critical,Percentage (%),Units,Undefined,13.5135135135135
2010,Critical,Percentage (%),Units,Undefined,10.2564102564102
2011,Critical,Percentage (%),Units,Undefined,8.23529411764705
2012,Critical,Percentage (%),Units,Undefined,8.58895705521472
2013,Critical,Percentage (%),Units,Undefined,8.59375
2014,Critical,Percentage (%),Units,Undefined,8.95522388059701
2015,Critical,Percentage (%),Units,Undefined,11.2994350282485
2016,Critical,Percentage (%),Units,Undefined,7.69230769230769
2017,Critical,Percentage (%),Units,Undefined,7.69230769230769
2018,Critical,Percentage (%),Units,Undefined,5.7471264367816
