Year,Value,Units,Series,Observation status,Unit multiplier
1990,1085.413,Metric tons,Material footprint,Normal value,Millions
1991,1062.829,Metric tons,Material footprint,Normal value,Millions
1992,965.168,Metric tons,Material footprint,Normal value,Millions
1993,933.888,Metric tons,Material footprint,Normal value,Millions
1994,927.691,Metric tons,Material footprint,Normal value,Millions
1995,866.457,Metric tons,Material footprint,Normal value,Millions
1996,941.921,Metric tons,Material footprint,Normal value,Millions
1997,1145.467,Metric tons,Material footprint,Normal value,Millions
1998,1331.521,Metric tons,Material footprint,Normal value,Millions
1999,1393.502,Metric tons,Material footprint,Normal value,Millions
2000,1365.742,Metric tons,Material footprint,Normal value,Millions
2001,1427.904,Metric tons,Material footprint,Normal value,Millions
2002,1344.47,Metric tons,Material footprint,Normal value,Millions
2003,1309.612,Metric tons,Material footprint,Normal value,Millions
2004,1464.399,Metric tons,Material footprint,Normal value,Millions
2005,1365.497,Metric tons,Material footprint,Normal value,Millions
2006,1352.15,Metric tons,Material footprint,Normal value,Millions
2007,1302.617,Metric tons,Material footprint,Normal value,Millions
2008,1156.109,Metric tons,Material footprint,Normal value,Millions
2009,1012.619,Metric tons,Material footprint,Normal value,Millions
2010,954.336,Metric tons,Material footprint,Normal value,Millions
2011,964.866,Metric tons,Material footprint,Normal value,Millions
2012,951.984,Metric tons,Material footprint,Normal value,Millions
2013,1024.069,Metric tons,Material footprint,Normal value,Millions
2014,1112.38,Metric tons,Material footprint,Normal value,Millions
2015,1195.637,Metric tons,Material footprint,Normal value,Millions
2016,1070.756,Metric tons,Material footprint,Normal value,Millions
2017,970.509,Metric tons,Material footprint,Normal value,Millions
2018,971.213,Metric tons,Material footprint,Normal value,Millions
1990,19.0,Metric tons,Material footprint per capita,Normal value,Units
1991,18.5,Metric tons,Material footprint per capita,Normal value,Units
1992,16.8,Metric tons,Material footprint per capita,Normal value,Units
1993,16.2,Metric tons,Material footprint per capita,Normal value,Units
1994,16.0,Metric tons,Material footprint per capita,Normal value,Units
1995,14.9,Metric tons,Material footprint per capita,Normal value,Units
1996,16.2,Metric tons,Material footprint per capita,Normal value,Units
1997,19.6,Metric tons,Material footprint per capita,Normal value,Units
1998,22.8,Metric tons,Material footprint per capita,Normal value,Units
1999,23.7,Metric tons,Material footprint per capita,Normal value,Units
2000,23.2,Metric tons,Material footprint per capita,Normal value,Units
2001,24.2,Metric tons,Material footprint per capita,Normal value,Units
2002,22.6,Metric tons,Material footprint per capita,Normal value,Units
2003,22.0,Metric tons,Material footprint per capita,Normal value,Units
2004,24.4,Metric tons,Material footprint per capita,Normal value,Units
2005,22.6,Metric tons,Material footprint per capita,Normal value,Units
2006,22.2,Metric tons,Material footprint per capita,Normal value,Units
2007,21.2,Metric tons,Material footprint per capita,Normal value,Units
2008,18.7,Metric tons,Material footprint per capita,Normal value,Units
2009,16.3,Metric tons,Material footprint per capita,Normal value,Units
2010,15.2,Metric tons,Material footprint per capita,Normal value,Units
2011,15.2,Metric tons,Material footprint per capita,Normal value,Units
2012,14.9,Metric tons,Material footprint per capita,Normal value,Units
2013,16.0,Metric tons,Material footprint per capita,Normal value,Units
2014,17.2,Metric tons,Material footprint per capita,Normal value,Units
2015,18.4,Metric tons,Material footprint per capita,Normal value,Units
2016,16.3,Metric tons,Material footprint per capita,Normal value,Units
2017,14.7,Metric tons,Material footprint per capita,Normal value,Units
2018,14.6,Metric tons,Material footprint per capita,Normal value,Units
1990,0.37388,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1991,0.39475,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1992,0.36828,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1993,0.35715,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1994,0.34624,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
