Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
1981,14.7,,Undefined,Units,"Rate per 100,000 population"
1982,14.4,,Undefined,Units,"Rate per 100,000 population"
1983,14.0,,Undefined,Units,"Rate per 100,000 population"
1984,14.0,,Undefined,Units,"Rate per 100,000 population"
1985,14.7,,Undefined,Units,"Rate per 100,000 population"
1986,14.2,,Undefined,Units,"Rate per 100,000 population"
1987,13.4,,Undefined,Units,"Rate per 100,000 population"
1988,14.4,,Undefined,Units,"Rate per 100,000 population"
1989,12.7,,Undefined,Units,"Rate per 100,000 population"
1990,13.2,,Undefined,Units,"Rate per 100,000 population"
1991,12.8,,Undefined,Units,"Rate per 100,000 population"
1992,12.9,,Undefined,Units,"Rate per 100,000 population"
1993,12.5,,Undefined,Units,"Rate per 100,000 population"
1994,12.1,,Undefined,Units,"Rate per 100,000 population"
1995,12.1,,Undefined,Units,"Rate per 100,000 population"
1996,11.6,,Undefined,Units,"Rate per 100,000 population"
1997,11.4,,Undefined,Units,"Rate per 100,000 population"
1998,12.4,,Undefined,Units,"Rate per 100,000 population"
1999,12.2,,Undefined,Units,"Rate per 100,000 population"
2000,11.9,,Undefined,Units,"Rate per 100,000 population"
2001,11.5,,Undefined,Units,"Rate per 100,000 population"
2002,11.2,,Undefined,Units,"Rate per 100,000 population"
2003,10.9,,Undefined,Units,"Rate per 100,000 population"
2004,11.1,,Undefined,Units,"Rate per 100,000 population"
2005,10.7,,Undefined,Units,"Rate per 100,000 population"
2006,10.4,,Undefined,Units,"Rate per 100,000 population"
2007,10.0,,Undefined,Units,"Rate per 100,000 population"
2008,10.5,,Undefined,Units,"Rate per 100,000 population"
2009,10.3,,Undefined,Units,"Rate per 100,000 population"
2010,10.2,,Undefined,Units,"Rate per 100,000 population"
2011,10.9,,Undefined,Units,"Rate per 100,000 population"
2012,10.7,,Undefined,Units,"Rate per 100,000 population"
2013,11.1,,Undefined,Units,"Rate per 100,000 population"
2014,10.8,,Undefined,Units,"Rate per 100,000 population"
2015,10.9,,Undefined,Units,"Rate per 100,000 population"
2016,10.4,,Undefined,Units,"Rate per 100,000 population"
2017,10.1,,Undefined,Units,"Rate per 100,000 population"
2018,11.2,,Undefined,Units,"Rate per 100,000 population"
