Year,Value,Units,Observation status,Unit multiplier,Unit measure
2010,0.06493881633337867,Hazardous waste generated (tonnes per capita),Undefined,Units,Tonnes per capita
2012,0.06565934426800127,Hazardous waste generated (tonnes per capita),Undefined,Units,Tonnes per capita
2014,0.0651241835120799,Hazardous waste generated (tonnes per capita),Undefined,Units,Tonnes per capita
2016,0.06862936579786669,Hazardous waste generated (tonnes per capita),Undefined,Units,Tonnes per capita
2010,48.421894163726044,Percentage of hazardous waste treated (%),Undefined,Units,Percentage (%)
2012,45.729909682146776,Percentage of hazardous waste treated (%),Undefined,Units,Percentage (%)
2014,45.065660196197726,Percentage of hazardous waste treated (%),Undefined,Units,Percentage (%)
2016,42.85987326706757,Percentage of hazardous waste treated (%),Undefined,Units,Percentage (%)
2010,4075524.78636676,Hazardous waste generated (absolute number),Undefined,Units,Tonnes
2012,4182830.49637335,Hazardous waste generated (absolute number),Undefined,Units,Tonnes
2014,4206810.731532314,Hazardous waste generated (absolute number),Undefined,Units,Tonnes
2016,4505384.311884105,Hazardous waste generated (absolute number),Undefined,Units,Tonnes
