Year,Value,Units,Series,Observation status,Unit multiplier
2000,48.7,Percentage (%),Labour share of GDP,Normal value,Units
2001,49.7,Percentage (%),Labour share of GDP,Normal value,Units
2002,49.1,Percentage (%),Labour share of GDP,Normal value,Units
2003,48.8,Percentage (%),Labour share of GDP,Normal value,Units
2004,49.5,Percentage (%),Labour share of GDP,Normal value,Units
2005,49.4,Percentage (%),Labour share of GDP,Normal value,Units
2006,50.0,Percentage (%),Labour share of GDP,Normal value,Units
2007,50.6,Percentage (%),Labour share of GDP,Normal value,Units
2008,49.8,Percentage (%),Labour share of GDP,Normal value,Units
2009,50.6,Percentage (%),Labour share of GDP,Normal value,Units
2010,50.2,Percentage (%),Labour share of GDP,Normal value,Units
2011,49.4,Percentage (%),Labour share of GDP,Normal value,Units
2012,48.8,Percentage (%),Labour share of GDP,Normal value,Units
2013,49.0,Percentage (%),Labour share of GDP,Normal value,Units
2014,48.0,Percentage (%),Labour share of GDP,Normal value,Units
2015,48.0,Percentage (%),Labour share of GDP,Normal value,Units
2016,47.9,Percentage (%),Labour share of GDP,Normal value,Units
2017,48.0,Percentage (%),Labour share of GDP,Normal value,Units
2018,48.2,Percentage (%),Labour share of GDP,Normal value,Units
2019,48.7,Percentage (%),Labour share of GDP,Normal value,Units
2020,52.5,Percentage (%),Labour share of GDP,Normal value,Units
