Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2004/05,2.30374225863,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2005/06,2.518203361812256,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2006/07,2.615723951008618,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2007/08,2.220040955473805,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2008/09,1.887869890969026,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2009/10,1.8663253703843976,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2010/11,1.9124697866567124,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2011/12,2.1201791277459545,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2012/13,1.568753275268881,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2013/14,1.2473063626980463,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2014/15,1.5052141786840456,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2015/16,1.715373385729858,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2016/17,1.738902155951773,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2017/18,2.50643217921014,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2018/19,2.4742472714024086,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2019/20,1.940524433946042,Percentage of adults aged 16 to 59 (%),,Undefined,Units,Percentage (%)
2017/18,2.0759912032468533,Percentage of adults aged 16 to 74 (%),,Undefined,Units,Percentage (%)
2018/19,2.045404403800798,Percentage of adults aged 16 to 74 (%),,Undefined,Units,Percentage (%)
2019/20,1.6029147351808788,Percentage of adults aged 16 to 74 (%),,Undefined,Units,Percentage (%)
