Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2014/15,1.8080541271021688,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2015/16,1.7969733332441653,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2016/17,1.6663071735395631,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2017/18,1.7499497701555906,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2018/19,1.730990470867787,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2019/20,1.626386947925169,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2020/21,1.785310479805799,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2021/22,1.889135441331453,Percentage (%),(a) Physical violence - 16 and over,,Normal value,Units
2021/22,2.261609842360936,Percentage (%),(c) Sexual violence - 16 and over,,Normal value,Units
2004/05,2.6050799941591,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2005/06,2.977146032817532,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2006/07,2.9029316670167846,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2007/08,2.564376169051692,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2008/09,2.155759741841332,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2009/10,2.0818715682243445,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2010/11,2.3234354469975718,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2011/12,2.408723543752493,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2012/13,1.9138697969641625,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2013/14,1.4746422648221806,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2014/15,1.7090108873577323,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2015/16,1.961200960790143,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2016/17,1.956909146432753,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2017/18,2.7187110249381288,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2017/18,2.272190415208043,Percentage (%),(c) Sexual violence - 16 to 74,,Normal value,Units
2018/19,2.394244549904467,Percentage (%),(c) Sexual violence - 16 to 74,,Normal value,Units
2018/19,2.86324979856038,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2019/20,1.824774139185375,Percentage (%),(c) Sexual violence - 16 to 74,,Normal value,Units
2019/20,2.197476545385852,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
2020/21,,Percentage (%),(c) Sexual violence - 16 to 59,,Missing value,Units
2021/22,2.650476350200518,Percentage (%),(c) Sexual violence - 16 to 59,,Normal value,Units
