Year,Value,Observation status,Unit multiplier,Unit measure
2000,259.6,Normal value,Units,GBP (£)
2001,269.6,Normal value,Units,GBP (£)
2002,297.7,Normal value,Units,GBP (£)
2003,306.2,Normal value,Units,GBP (£)
2004,316.4,Normal value,Units,GBP (£)
2005,318.5,Normal value,Units,GBP (£)
2006,325.6,Normal value,Units,GBP (£)
2007,362.1,Normal value,Units,GBP (£)
2008,373.5,Normal value,Units,GBP (£)
2009,406.8,Normal value,Units,GBP (£)
2010,361.8,Normal value,Units,GBP (£)
2011,359.9,Normal value,Units,GBP (£)
2012,355.5,Normal value,Units,GBP (£)
2013,384.8,Normal value,Units,GBP (£)
2014,373.2,Normal value,Units,GBP (£)
2015,380.2,Normal value,Units,GBP (£)
2016,393.3,Normal value,Units,GBP (£)
2017,408.0,Normal value,Units,GBP (£)
2018,414.6,Normal value,Units,GBP (£)
2019,431.5,Normal value,Units,GBP (£)
2020,451.6,Normal value,Units,GBP (£)
2021,468.1,Provisional value,Units,GBP (£)
