Year,Value,Units,Series,Observation status,Unit multiplier
2000,1.3253464512157933,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2001,1.368923294331568,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2002,1.3803790662164148,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2003,1.473031224038038,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2004,1.473066103813966,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2005,1.4730661046045423,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2006,1.5413616135662898,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2007,1.5979992469195756,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2008,1.9018223279084736,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2009,2.115463798493388,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2010,4.279807615395909,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2011,5.688616970624443,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2012,8.473450749353423,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2013,9.498186733112725,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2014,16.34022624272952,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2015,16.35664490993077,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2016,18.84938990535672,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2017,23.467485931694203,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2018,23.653015181324324,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2019,24.65106347672882,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2020,38.19800322758434,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2021,38.20005071287396,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2022,38.20005071287396,Percentage (%),Coverage of protected areas in relation to marine area (%),Normal value,Unit
2000,11735.015082999998,Square km,Protected marine area (square kilometres),Normal value,Unit
2001,12120.857525,Square km,Protected marine area (square kilometres),Normal value,Unit
2002,12222.290366,Square km,Protected marine area (square kilometres),Normal value,Unit
2003,13042.660367,Square km,Protected marine area (square kilometres),Normal value,Unit
2004,13042.969203,Square km,Protected marine area (square kilometres),Normal value,Unit
2005,13042.96921,Square km,Protected marine area (square kilometres),Normal value,Unit
2006,13647.678134999998,Square km,Protected marine area (square kilometres),Normal value,Unit
2007,14149.164732,Square km,Protected marine area (square kilometres),Normal value,Unit
2008,16839.305438,Square km,Protected marine area (square kilometres),Normal value,Unit
2009,18730.951111,Square km,Protected marine area (square kilometres),Normal value,Unit
2010,37894.700569,Square km,Protected marine area (square kilometres),Normal value,Unit
2011,50368.721243,Square km,Protected marine area (square kilometres),Normal value,Unit
2012,75026.47497000001,Square km,Protected marine area (square kilometres),Normal value,Unit
2013,84099.79479100001,Square km,Protected marine area (square kilometres),Normal value,Unit
2014,144681.265221,Square km,Protected marine area (square kilometres),Normal value,Unit
2015,144826.641026,Square km,Protected marine area (square kilometres),Normal value,Unit
2016,166898.15303899997,Square km,Protected marine area (square kilometres),Normal value,Unit
2017,207788.160685,Square km,Protected marine area (square kilometres),Normal value,Unit
2018,209430.89232,Square km,Protected marine area (square kilometres),Normal value,Unit
2019,218267.911342,Square km,Protected marine area (square kilometres),Normal value,Unit
