Year,Sex,Occupation category,Occupation,Value
2016,,,,18.96035072
2016,,Physicians,,5.276664519
2016,,Physicians,Medical practitioners,4.228012692
2016,,Physicians,Ophthalmic opticians,0.288553667
2016,,Physicians,Medical radiographers,0.578828633
2016,,Physicians,Podiatrists,0.18126952600000001
2016,,Nursing and midwifery personnel,,10.93212142
2016,,Nursing and midwifery personnel,Nurses,10.27863716
2016,,Nursing and midwifery personnel,Midwives,0.653484259
2016,,Dentistry personnel,,1.342993933
2016,,Dentistry personnel,Dental practitioners,0.6127062320000001
2016,,Dentistry personnel,Dental nurses,0.730287701
2016,,Pharmaceutical personnel,,1.40857085
2016,,Pharmaceutical personnel,Pharmacists,0.933827483
2016,,Pharmaceutical personnel,Pharmaceutical technicians,0.474743367
2016,Male,,,4.552713635
2016,Male,Physicians,,2.4990517619999997
2016,Male,Physicians,Medical practitioners,2.2525861369999998
2016,Male,Physicians,Ophthalmic opticians,0.101724193
2016,Male,Physicians,Medical radiographers,0.144741432
2016,Male,Nursing and midwifery personnel,,1.2209645059999998
2016,Male,Nursing and midwifery personnel,Nurses,1.2209645059999998
2016,Male,Dentistry personnel,,0.36709364
2016,Male,Dentistry personnel,Dental practitioners,0.33609502799999996
2016,Male,Dentistry personnel,Dental nurses,0.030998612000000002
2016,Male,Pharmaceutical personnel,,0.465603727
2016,Male,Pharmaceutical personnel,Pharmacists,0.365265712
2016,Male,Pharmaceutical personnel,Pharmaceutical technicians,0.100338014
2016,Female,,,14.40763708
2016,Female,Physicians,,2.777612757
2016,Female,Physicians,Medical practitioners,1.975426555
2016,Female,Physicians,Ophthalmic opticians,0.186829474
2016,Female,Physicians,Medical radiographers,0.43408720100000003
2016,Female,Physicians,Podiatrists,0.18126952600000001
2016,Female,Nursing and midwifery personnel,,9.711156911
2016,Female,Nursing and midwifery personnel,Nurses,9.057672652
2016,Female,Nursing and midwifery personnel,Midwives,0.653484259
2016,Female,Dentistry personnel,,0.9759002929999999
2016,Female,Dentistry personnel,Dental practitioners,0.276611204
2016,Female,Dentistry personnel,Dental nurses,0.699289088
2016,Female,Pharmaceutical personnel,,0.942967123
2016,Female,Pharmaceutical personnel,Pharmacists,0.568561771
2016,Female,Pharmaceutical personnel,Pharmaceutical technicians,0.374405352
