Year,Region,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1992,,,Undefined,Units,Percentage (%),,0.697767145136
1993,,,Undefined,Units,Percentage (%),,0.602942358710507
1994,,,Undefined,Units,Percentage (%),,0.574254267028234
1995,,,Undefined,Units,Percentage (%),,0.524137931034482
1996,,,Undefined,Units,Percentage (%),,0.475800475800475
1997,,,Undefined,Units,Percentage (%),,0.444648880711438
1998,,,Undefined,Units,Percentage (%),,0.379333889689704
1999,,,Undefined,Units,Percentage (%),,0.378121373217026
2000,,,Undefined,Units,Percentage (%),,0.403195975438336
2001,,,Undefined,Units,Percentage (%),,0.359395628575619
2002,,,Undefined,Units,Percentage (%),,0.349548499854354
2003,,,Undefined,Units,Percentage (%),,0.342960288808664
2004,,,Undefined,Units,Percentage (%),,0.346527579308373
2005,,,Undefined,Units,Percentage (%),,0.339582596391934
2006,,,Undefined,Units,Percentage (%),,0.336676720207617
2007,,,Undefined,Units,Percentage (%),,0.351451040434268
2008,,,Undefined,Units,Percentage (%),,0.349070297919402
2009,,,Undefined,Units,Percentage (%),,0.309684684684684
2010,,,Undefined,Units,Percentage (%),,0.331079177233023
2011,,,Undefined,Units,Percentage (%),,0.361416190041755
2012,,,Undefined,Units,Percentage (%),,0.375652173913043
2013,,,Undefined,Units,Percentage (%),,0.379244957765902
2014,,,Undefined,Units,Percentage (%),,0.39136302294197
2015,,,Undefined,Units,Percentage (%),,0.338802896432604
2016,,,Undefined,Units,Percentage (%),,0.386416478370501
2017,,,Undefined,Units,Percentage (%),,0.375696333721984
2018,,,Undefined,Units,Percentage (%),,0.368625188319389
2004,North East,,Undefined,Units,Percentage (%),E12000001,0.279333607716121
2005,North East,,Undefined,Units,Percentage (%),E12000001,0.138436102729256
2006,North East,,Undefined,Units,Percentage (%),E12000001,0.256640888942501
2007,North East,,Undefined,Units,Percentage (%),E12000001,0.187688300047136
2008,North East,,Undefined,Units,Percentage (%),E12000001,0.182766856893983
2009,North East,,Undefined,Units,Percentage (%),E12000001,0.258099578149291
2010,North East,,Undefined,Units,Percentage (%),E12000001,0.156840094192917
2011,North East,,Undefined,Units,Percentage (%),E12000001,0.190947704559057
2012,North East,,Undefined,Units,Percentage (%),E12000001,0.236553918225542
2013,North East,,Undefined,Units,Percentage (%),E12000001,0.206038161464647
2014,North East,,Undefined,Units,Percentage (%),E12000001,0.312083611465402
2015,North East,,Undefined,Units,Percentage (%),E12000001,0.275743045303807
2016,North East,,Undefined,Units,Percentage (%),E12000001,0.331341607683516
2017,North East,,Undefined,Units,Percentage (%),E12000001,0.13417029241921
2018,North East,,Undefined,Units,Percentage (%),E12000001,0.424614330816792
2004,North East,Male,Undefined,Units,Percentage (%),E12000001,0.203937761216576
2005,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0
2006,North East,Male,Undefined,Units,Percentage (%),E12000001,0.139086193795632
2007,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0970646479821284
2008,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0444233165038358
2009,North East,Male,Undefined,Units,Percentage (%),E12000001,0.266394284071777
2010,North East,Male,Undefined,Units,Percentage (%),E12000001,0.134558403783945
2011,North East,Male,Undefined,Units,Percentage (%),E12000001,0.135097650430976
2012,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0988269595877407
2013,North East,Male,Undefined,Units,Percentage (%),E12000001,0.101766765400647
2014,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0958536270416491
2015,North East,Male,Undefined,Units,Percentage (%),E12000001,0.211929140256785
2016,North East,Male,Undefined,Units,Percentage (%),E12000001,0.252013089445602
2017,North East,Male,Undefined,Units,Percentage (%),E12000001,0.0941254099792342
2018,North East,Male,Undefined,Units,Percentage (%),E12000001,0.220476891677278
2004,North East,Female,Undefined,Units,Percentage (%),E12000001,0.365402671060951
2005,North East,Female,Undefined,Units,Percentage (%),E12000001,0.20929009248309
2006,North East,Female,Undefined,Units,Percentage (%),E12000001,0.388763364901017
2007,North East,Female,Undefined,Units,Percentage (%),E12000001,0.289096740975505
2008,North East,Female,Undefined,Units,Percentage (%),E12000001,0.33700554852953
2009,North East,Female,Undefined,Units,Percentage (%),E12000001,0.24908776254129
2010,North East,Female,Undefined,Units,Percentage (%),E12000001,0.181273497553832
2011,North East,Female,Undefined,Units,Percentage (%),E12000001,0.253428856026358
2012,North East,Female,Undefined,Units,Percentage (%),E12000001,0.389755851051794
2013,North East,Female,Undefined,Units,Percentage (%),E12000001,0.322258967757201
2014,North East,Female,Undefined,Units,Percentage (%),E12000001,0.547856679970467
2015,North East,Female,Undefined,Units,Percentage (%),E12000001,0.346031910837261
2016,North East,Female,Undefined,Units,Percentage (%),E12000001,0.419529097112694
