Year,Units,Sex,Age,Disability status,Country of birth,Nationality,Country,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2000 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.8
2000 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.5
2000 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.3
2000 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2001 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.1
2001 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.0
2001 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.1
2001 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2002 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2002 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2002 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.3
2002 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.1
2003 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2003 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.9
2003 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.0
2003 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.9
2004 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.8
2004 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.8
2004 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.7
2004 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.7
2005 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.7
2005 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.8
2005 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,4.7
2005 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.1
2006 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.2
2006 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.5
2006 Q3,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.5
2006 Q4,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.5
2007 Q1,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.5
2007 Q2,Seasonally adjusted,,,,,,,,Percentage,Units,Undefined,,5.4
