Year,Status classification,Water body category,Unit measure,Unit multiplier,Observation status,Value
2015,,,Percentage (%),Units,Undefined,35.1960689855
2016,,,Percentage (%),Units,Undefined,34.871463913090246
2017,,,Percentage (%),Units,Undefined,35.11507851150785
2018,,,Percentage (%),Units,Undefined,35.41935483870968
2015,High,,Percentage (%),Units,Undefined,4.3164081318046055
2016,High,,Percentage (%),Units,Undefined,4.969344949983865
2017,High,,Percentage (%),Units,Undefined,4.872015487201549
2018,High,,Percentage (%),Units,Undefined,4.774193548387097
2015,Good,,Percentage (%),Units,Undefined,30.879660853646783
2016,Good,,Percentage (%),Units,Undefined,29.90211896310638
2017,Good,,Percentage (%),Units,Undefined,30.243063024306306
2018,Good,,Percentage (%),Units,Undefined,30.64516129032258
2015,,Rivers and canals,Percentage (%),Units,Undefined,31.471485566768365
2016,,Rivers and canals,Percentage (%),Units,Undefined,31.603584325264144
2017,,Rivers and canals,Percentage (%),Units,Undefined,31.488166867228237
2018,,Rivers and canals,Percentage (%),Units,Undefined,31.920866194359043
2015,High,Rivers and canals,Percentage (%),Units,Undefined,2.0769772353907534
2016,High,Rivers and canals,Percentage (%),Units,Undefined,2.407382640096295
2017,High,Rivers and canals,Percentage (%),Units,Undefined,2.4735927263003075
2018,High,Rivers and canals,Percentage (%),Units,Undefined,2.3927282448870475
2015,Good,Rivers and canals,Percentage (%),Units,Undefined,29.39450833137761
2016,Good,Rivers and canals,Percentage (%),Units,Undefined,29.19620168516785
2017,Good,Rivers and canals,Percentage (%),Units,Undefined,29.01457414092793
2018,Good,Rivers and canals,Percentage (%),Units,Undefined,29.528137949471994
2015,,Lakes,Percentage (%),Units,Undefined,37.57961783439491
2016,,Lakes,Percentage (%),Units,Undefined,31.086142322097377
2017,,Lakes,Percentage (%),Units,Undefined,31.367041198501873
2018,,Lakes,Percentage (%),Units,Undefined,31.55430711610487
2015,High,Lakes,Percentage (%),Units,Undefined,9.463148316651502
2016,High,Lakes,Percentage (%),Units,Undefined,9.925093632958802
2017,High,Lakes,Percentage (%),Units,Undefined,10.112359550561797
2018,High,Lakes,Percentage (%),Units,Undefined,10.018726591760299
2015,Good,Lakes,Percentage (%),Units,Undefined,28.116469517743404
2016,Good,Lakes,Percentage (%),Units,Undefined,21.161048689138575
2017,Good,Lakes,Percentage (%),Units,Undefined,21.254681647940075
2018,Good,Lakes,Percentage (%),Units,Undefined,21.53558052434457
2015,,Estuaries and Coastal,Percentage (%),Units,Undefined,73.61477572559367
2016,,Estuaries and Coastal,Percentage (%),Units,Undefined,72.73936170212767
2017,,Estuaries and Coastal,Percentage (%),Units,Undefined,76.56458055925432
2018,,Estuaries and Coastal,Percentage (%),Units,Undefined,75.76564580559256
2015,High,Estuaries and Coastal,Percentage (%),Units,Undefined,22.03166226912929
2016,High,Estuaries and Coastal,Percentage (%),Units,Undefined,23.404255319148938
2017,High,Estuaries and Coastal,Percentage (%),Units,Undefined,21.304926764314246
2018,High,Estuaries and Coastal,Percentage (%),Units,Undefined,21.03861517976032
2015,Good,Estuaries and Coastal,Percentage (%),Units,Undefined,51.58311345646438
2016,Good,Estuaries and Coastal,Percentage (%),Units,Undefined,49.33510638297872
2017,Good,Estuaries and Coastal,Percentage (%),Units,Undefined,55.25965379494008
2018,Good,Estuaries and Coastal,Percentage (%),Units,Undefined,54.72703062583223
