Year,Units,Water type,Geography (HydroBASINs ID),Unit measure,Observation status,Unit multiplier,Value
1984-1988,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.68136163458
1985-1989,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.79277670774869
1986-1990,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.88240903976331
1998-2002,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.96161900759019
1999-2003,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.90638047739513
2009-2013,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.74535495069444
2010-2014,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.59558557731652
2011-2015,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.44863024226928
2012-2016,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.30292559092458
2013-2017,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.32554212121199
2014-2018,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.13710577669753
2015-2019,Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.17639808968533
1984-1988,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.17827411523912
1985-1989,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.40027047243814
1986-1990,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.40569010181576
1998-2002,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.0673801602815
1999-2003,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.13022701633361
2009-2013,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,1.86216380942476
2010-2014,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.31647466436865
2011-2015,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.68115318729792
2012-2016,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.97172870085231
2013-2017,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,3.16735647665632
2014-2018,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,3.49232579203027
2015-2019,Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,3.60280285242039
1984-1988,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.53297301236248
1985-1989,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.53787152353072
1986-1990,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.45741087200132
1998-2002,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.73902315235424
1999-2003,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.78561112027347
2009-2013,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,3.97550659577422
2010-2014,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.12517174551027
2011-2015,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.44868192989794
2012-2016,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.60314136716035
2013-2017,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.68860475349987
2014-2018,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.72956464475772
2015-2019,Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.74082079808049
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060048790 (Central South East England),square km,Undefined,Units,2.36014437031531
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060048790 (Central South East England),square km,Undefined,Units,2.28406111174476
2001-2005 (baseline),Spatial extent (square km),Permanent,2060048790 (Central South East England),square km,Undefined,Units,4.2392966333661
1984-1988,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,1.38023368938333
1985-1989,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,1.37377182358693
1986-1990,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,1.33291615597096
1998-2002,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,1.17345398389843
1999-2003,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,1.11508874444705
2009-2013,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.912269537353497
2010-2014,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.833997582303517
2011-2015,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.752182023429703
2012-2016,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.659839876726264
2013-2017,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.628155889595513
2014-2018,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.591260720370889
2015-2019,Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.572083570265434
1984-1988,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.628051665953635
1985-1989,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.694337902187707
1986-1990,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.720706483582707
1998-2002,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.469319059374248
1999-2003,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.487453973060928
2009-2013,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.364157404719881
2010-2014,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.480158318129505
2011-2015,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.573751148535474
2012-2016,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.675160752082252
2013-2017,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.761041032989288
2014-2018,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.835352489647924
2015-2019,Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.844836841058774
1984-1988,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.06193468708954
1985-1989,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.06276847622456
1986-1990,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.09830873810478
1998-2002,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.49112764434096
1999-2003,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.55637164415626
2009-2013,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.74762202700142
2010-2014,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.87425375188254
2011-2015,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.97034794969357
2012-2016,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.98869131066401
2013-2017,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.98629416690082
2014-2018,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.96659589858598
2015-2019,Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.99369404547412
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060048980 (Central South West England),square km,Undefined,Units,0.973448815135572
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060048980 (Central South West England),square km,Undefined,Units,0.452330605748221
