Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2010,,,,,Undefined,Units,"Rate per 100,000 population",3.03539916
2011,,,,,Undefined,Units,"Rate per 100,000 population",3.097093323
2012,,,,,Undefined,Units,"Rate per 100,000 population",2.828662038
2013,,,,,Undefined,Units,"Rate per 100,000 population",2.76106691
2014,,,,,Undefined,Units,"Rate per 100,000 population",2.870113346
2015,,,,,Undefined,Units,"Rate per 100,000 population",2.770694299
2016,,,,,Undefined,Units,"Rate per 100,000 population",2.833290382
2017,,,,,Undefined,Units,"Rate per 100,000 population",2.810408183
2018,,,,,Undefined,Units,"Rate per 100,000 population",2.768096298
2010,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",3.03504461
2011,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",3.092523873
2012,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.834454478
2013,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.750661496
2014,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.828403365
2015,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.734814103
2016,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.809397567
2017,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.794166908
2018,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",2.763581676
2010,England,,,,Undefined,Units,"Rate per 100,000 population",2.950090547
2011,England,,,,Undefined,Units,"Rate per 100,000 population",3.001478011
2012,England,,,,Undefined,Units,"Rate per 100,000 population",2.787242594
2013,England,,,,Undefined,Units,"Rate per 100,000 population",2.654744845
2014,England,,,,Undefined,Units,"Rate per 100,000 population",2.710036181
2015,England,,,,Undefined,Units,"Rate per 100,000 population",2.670374307
2016,England,,,,Undefined,Units,"Rate per 100,000 population",2.710425896
2017,England,,,,Undefined,Units,"Rate per 100,000 population",2.776008312
2018,England,,,,Undefined,Units,"Rate per 100,000 population",2.717178776
2010,Wales,,,,Undefined,Units,"Rate per 100,000 population",2.918060532
2011,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.949398092
2012,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.025308167
2013,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.60107604
2014,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.331138447
2015,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.388095716
2016,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.308546006
2017,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.29582598
2018,Wales,,,,Undefined,Units,"Rate per 100,000 population",3.28168555
2010,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.952719395
2011,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.509500179
2012,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.199337549
2013,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.228410008
2014,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.739995512
2015,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.015075377
2016,Scotland,,,,Undefined,Units,"Rate per 100,000 population",3.533961182
2017,Scotland,,,,Undefined,Units,"Rate per 100,000 population",2.69134346
2018,Scotland,,,,Undefined,Units,"Rate per 100,000 population",2.942204079
2010,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.047373358
2011,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.251910635
2012,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",2.6321071
2013,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.115222233
2014,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",4.292316536
2015,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.996498203
2016,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.651718429
2017,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",3.367482096
2018,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",2.922980526
2010,England,North East,,,Undefined,Units,"Rate per 100,000 population",1.971496033
2011,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.233826996
2012,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.958822035
