Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2009,,,,,Undefined,Units,"Rate per 100,000 population",,3.7535845769
2010,,,,,Undefined,Units,"Rate per 100,000 population",,3.0353991596103067
2011,,,,,Undefined,Units,"Rate per 100,000 population",,3.0970933226114914
2012,,,,,Undefined,Units,"Rate per 100,000 population",,2.8286620381467524
2013,,,,,Undefined,Units,"Rate per 100,000 population",,2.7610669099483798
2014,,,,,Undefined,Units,"Rate per 100,000 population",,2.8701133456369448
2015,,,,,Undefined,Units,"Rate per 100,000 population",,2.7706942988234347
2016,,,,,Undefined,Units,"Rate per 100,000 population",,2.833290382072864
2017,,,,,Undefined,Units,"Rate per 100,000 population",,2.810408183169686
2018,,,,,Undefined,Units,"Rate per 100,000 population",,2.768096297840539
2019,,,,,Undefined,Units,"Rate per 100,000 population",,2.7067162057611527
2009,Great Britain,,,,Undefined,,"Rate per 100,000 population",K03000001,3.6747223736497068
2010,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,3.0350446101520467
2011,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,3.092523873153683
2012,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.8344544780470047
2013,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.750661495551516
2014,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.8284033651849265
2019,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.6994071473275407
2009,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,3.6017822768210688
2010,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.9500905466941396
2011,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,3.0014780113773343
2012,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7872425943609205
2013,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.6547448449542688
2014,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.710036180824071
2015,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.67037430707848
2016,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.710425895662318
2017,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.776008312203128
2018,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7171787759647335
2019,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.645372877743391
2009,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,4.146275328477146
2010,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,2.9180605323788327
2011,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.9493980921469642
2012,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.02530816667301
2013,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.601076040451439
2014,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.331138447288453
2015,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.3880957159627063
2016,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.308546006456483
2017,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2958259803882353
2018,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.281685550165024
2019,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.108270250777147
2009,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,4.128519275980046
2010,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.952719394929877
2011,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.5095001792486653
2012,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.1993375489310454
2013,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.228410008071025
2014,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.739995512005385
2015,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.0150753768844223
2016,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.5339611819342425
2017,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,2.6913434596667156
2018,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,2.942204078630404
