Year,Country income classification,Observation status,Unit multiplier,Units,Value
2009,LDCs,Definition differs,Thousands,GBP (£ thousands),7738.51
2010,LDCs,Definition differs,Thousands,GBP (£ thousands),14507.84
2011,LDCs,Definition differs,Thousands,GBP (£ thousands),13377.09
2012,LDCs,Definition differs,Thousands,GBP (£ thousands),15928.57
2013,LDCs,Definition differs,Thousands,GBP (£ thousands),22611.18
2014,LDCs,Definition differs,Thousands,GBP (£ thousands),18483.67
2015,LDCs,Definition differs,Thousands,GBP (£ thousands),30349.81
2016,LDCs,Definition differs,Thousands,GBP (£ thousands),23776.75
2017,LDCs,Definition differs,Thousands,GBP (£ thousands),14169.0545011
2018,LDCs,Definition differs,Thousands,GBP (£ thousands),13833.9430825
2019,LDCs,Definition differs,Thousands,GBP (£ thousands),19741.0796285
2020,LDCs,Definition differs,Thousands,GBP (£ thousands),16940.4299475
2009,LMICs,Definition differs,Thousands,GBP (£ thousands),2730.24
2010,LMICs,Definition differs,Thousands,GBP (£ thousands),939.84
2011,LMICs,Definition differs,Thousands,GBP (£ thousands),2958.23
2012,LMICs,Definition differs,Thousands,GBP (£ thousands),10540.2
2013,LMICs,Definition differs,Thousands,GBP (£ thousands),6478.18
2014,LMICs,Definition differs,Thousands,GBP (£ thousands),4886.21
2015,LMICs,Definition differs,Thousands,GBP (£ thousands),329.85
2016,LMICs,Definition differs,Thousands,GBP (£ thousands),917.4
2017,LMICs,Definition differs,Thousands,GBP (£ thousands),22824.7432395
2018,LMICs,Definition differs,Thousands,GBP (£ thousands),21711.560723
2019,LMICs,Definition differs,Thousands,GBP (£ thousands),17325.6122475
2020,LMICs,Definition differs,Thousands,GBP (£ thousands),9462.518178
2009,Other LICs,Definition differs,Thousands,GBP (£ thousands),3740.71
2010,Other LICs,Definition differs,Thousands,GBP (£ thousands),4961.07
2011,Other LICs,Definition differs,Thousands,GBP (£ thousands),162.61
2012,Other LICs,Definition differs,Thousands,GBP (£ thousands),4693.01
2013,Other LICs,Definition differs,Thousands,GBP (£ thousands),4673.16
2014,Other LICs,Definition differs,Thousands,GBP (£ thousands),1508.9
2015,Other LICs,Definition differs,Thousands,GBP (£ thousands),1800.0
2016,Other LICs,Definition differs,Thousands,GBP (£ thousands),97.15
2017,Other LICs,Definition differs,Thousands,GBP (£ thousands),3833.7350347
2019,Other LICs,Definition differs,Thousands,GBP (£ thousands),67.631785
2020,Other LICs,Definition differs,Thousands,GBP (£ thousands),71.419057
2009,UMICs,Definition differs,Thousands,GBP (£ thousands),265.14
2010,UMICs,Definition differs,Thousands,GBP (£ thousands),259.13
2011,UMICs,Definition differs,Thousands,GBP (£ thousands),201.62
2012,UMICs,Definition differs,Thousands,GBP (£ thousands),4221.12
2013,UMICs,Definition differs,Thousands,GBP (£ thousands),3098.34
2014,UMICs,Definition differs,Thousands,GBP (£ thousands),7799.85
2015,UMICs,Definition differs,Thousands,GBP (£ thousands),829.94
2016,UMICs,Definition differs,Thousands,GBP (£ thousands),1806.12
2017,UMICs,Definition differs,Thousands,GBP (£ thousands),5845.703749
2018,UMICs,Definition differs,Thousands,GBP (£ thousands),1366.069781
2019,UMICs,Definition differs,Thousands,GBP (£ thousands),1225.6901426
2020,UMICs,Definition differs,Thousands,GBP (£ thousands),4403.9557558
2009,Unspecified,Definition differs,Thousands,GBP (£ thousands),32846.86
2010,Unspecified,Definition differs,Thousands,GBP (£ thousands),114440.32
2011,Unspecified,Definition differs,Thousands,GBP (£ thousands),31355.0
2012,Unspecified,Definition differs,Thousands,GBP (£ thousands),24914.72
2013,Unspecified,Definition differs,Thousands,GBP (£ thousands),39767.89
2014,Unspecified,Definition differs,Thousands,GBP (£ thousands),27326.32
2015,Unspecified,Definition differs,Thousands,GBP (£ thousands),20839.81
2016,Unspecified,Definition differs,Thousands,GBP (£ thousands),19774.83
2017,Unspecified,Definition differs,Thousands,GBP (£ thousands),32895.6484808
2018,Unspecified,Definition differs,Thousands,GBP (£ thousands),34378.5918983
2019,Unspecified,Definition differs,Thousands,GBP (£ thousands),52438.5039837
2020,Unspecified,Definition differs,Thousands,GBP (£ thousands),44730.5338983
2009,,Definition differs,Thousands,GBP (£ thousands),47321.46
2010,,Definition differs,Thousands,GBP (£ thousands),135108.2
2011,,Definition differs,Thousands,GBP (£ thousands),48054.55
2012,,Definition differs,Thousands,GBP (£ thousands),60297.62
2013,,Definition differs,Thousands,GBP (£ thousands),76628.75
2014,,Definition differs,Thousands,GBP (£ thousands),60004.95
2015,,Definition differs,Thousands,GBP (£ thousands),54149.41
2016,,Definition differs,Thousands,GBP (£ thousands),46372.25
2017,,Definition differs,Thousands,GBP (£ thousands),79568.8850051
2018,,Definition differs,Thousands,GBP (£ thousands),71290.1654848
2019,,Definition differs,Thousands,GBP (£ thousands),90798.5177873
2020,,Definition differs,Thousands,GBP (£ thousands),75608.8568366
2009,LDCs,Definition differs,Thousands,Constant USD ($ thousands),11796.608125674047
2010,LDCs,Definition differs,Thousands,Constant USD ($ thousands),21766.065211794594
