Year,Age,Number of previous live births,Country,Region,Health board,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,,,,,,Undefined,Units,Percentage (%),,97.4986396953
2014,19 and under,,,,,Undefined,Units,Percentage (%),,98.47672669777486
2014,20 to 24,,,,,Undefined,Units,Percentage (%),,98.03097621469229
2014,25 to 29,,,,,Undefined,Units,Percentage (%),,97.68137928206811
2014,30 to 34,,,,,Undefined,Units,Percentage (%),,97.27995339747444
2014,35 to 39,,,,,Undefined,Units,Percentage (%),,96.79612422975255
2014,40 to 44,,,,,Undefined,Units,Percentage (%),,97.60832544938505
2014,45 and over,,,,,Undefined,Units,Percentage (%),,98.8404196576477
2014,,0,,,,Undefined,Units,Percentage (%),,99.0841868579478
2014,19 and under,0,,,,Undefined,Units,Percentage (%),,98.99749373433583
2014,20 to 24,0,,,,Undefined,Units,Percentage (%),,99.21615705105572
2014,25 to 29,0,,,,Undefined,Units,Percentage (%),,99.16865990044606
2014,30 to 34,0,,,,Undefined,Units,Percentage (%),,98.94827275624593
2014,35 to 39,0,,,,Undefined,Units,Percentage (%),,98.9051594361571
2014,40 to 44,0,,,,Undefined,Units,Percentage (%),,99.43995021779713
2014,45 and over,0,,,,Undefined,Units,Percentage (%),,99.83050847457628
2014,,1,,,,Undefined,Units,Percentage (%),,97.03666053506309
2014,19 and under,1,,,,Undefined,Units,Percentage (%),,97.1576689309975
2014,20 to 24,1,,,,Undefined,Units,Percentage (%),,97.32533717958451
2014,25 to 29,1,,,,Undefined,Units,Percentage (%),,97.41405103509196
2014,30 to 34,1,,,,Undefined,Units,Percentage (%),,96.90704988749518
2014,35 to 39,1,,,,Undefined,Units,Percentage (%),,96.32229867956109
2014,40 to 44,1,,,,Undefined,Units,Percentage (%),,97.24400369003689
2014,45 and over,1,,,,Undefined,Units,Percentage (%),,98.7152034261242
2014,,2,,,,Undefined,Units,Percentage (%),,95.94583275164037
2014,19 and under,2,,,,Undefined,Units,Percentage (%),,94.30485762144055
2014,20 to 24,2,,,,Undefined,Units,Percentage (%),,95.70940598183788
2014,25 to 29,2,,,,Undefined,Units,Percentage (%),,95.98428775483704
2014,30 to 34,2,,,,Undefined,Units,Percentage (%),,95.97725299044738
2014,35 to 39,2,,,,Undefined,Units,Percentage (%),,95.77085905803493
2014,40 to 44,2,,,,Undefined,Units,Percentage (%),,96.82686954908147
2014,45 and over,2,,,,Undefined,Units,Percentage (%),,98.56630824372759
2014,,3,,,,Undefined,Units,Percentage (%),,95.34605013482472
2014,19 and under,3,,,,Undefined,Units,Percentage (%),,95.0
2014,20 to 24,3,,,,Undefined,Units,Percentage (%),,94.6260804208944
2014,25 to 29,3,,,,Undefined,Units,Percentage (%),,94.93612294019626
2014,30 to 34,3,,,,Undefined,Units,Percentage (%),,95.35816618911174
2014,35 to 39,3,,,,Undefined,Units,Percentage (%),,95.6019962570181
2014,40 to 44,3,,,,Undefined,Units,Percentage (%),,96.48550724637681
2014,45 and over,3,,,,Undefined,Units,Percentage (%),,98.42931937172776
2014,,4 and over,,,,Undefined,Units,Percentage (%),,95.51925135810302
2014,19 and under,4 and over,,,,Undefined,Units,Percentage (%),,100.0
2014,20 to 24,4 and over,,,,Undefined,Units,Percentage (%),,93.4931506849315
2014,25 to 29,4 and over,,,,Undefined,Units,Percentage (%),,94.39999999999999
2014,30 to 34,4 and over,,,,Undefined,Units,Percentage (%),,95.30681943373361
2014,35 to 39,4 and over,,,,Undefined,Units,Percentage (%),,95.94699922057679
2014,40 to 44,4 and over,,,,Undefined,Units,Percentage (%),,97.03603907039408
2014,45 and over,4 and over,,,,Undefined,Units,Percentage (%),,97.28682170542635
2014,,Not stated,,,,Undefined,Units,Percentage (%),,97.9502196193265
2014,19 and under,Not stated,,,,Undefined,Units,Percentage (%),,97.52066115702479
2014,20 to 24,Not stated,,,,Undefined,Units,Percentage (%),,98.51851851851852
2014,25 to 29,Not stated,,,,Undefined,Units,Percentage (%),,98.30007390983
2014,30 to 34,Not stated,,,,Undefined,Units,Percentage (%),,97.83180026281208
2014,35 to 39,Not stated,,,,Undefined,Units,Percentage (%),,96.80729760547321
2014,40 to 44,Not stated,,,,Undefined,Units,Percentage (%),,99.51690821256038
2014,45 and over,Not stated,,,,Undefined,Units,Percentage (%),,100.0
2015,,,,,,Undefined,Units,Percentage (%),,97.54056173894638
2015,19 and under,,,,,Undefined,Units,Percentage (%),,98.80459770114942
2015,20 to 24,,,,,Undefined,Units,Percentage (%),,98.15153852587754
2015,25 to 29,,,,,Undefined,Units,Percentage (%),,97.71952964662385
2015,30 to 34,,,,,Undefined,Units,Percentage (%),,97.22716060874018
2015,35 to 39,,,,,Undefined,Units,Percentage (%),,96.88670648982485
2015,40 to 44,,,,,Undefined,Units,Percentage (%),,97.95648560852158
2015,45 and over,,,,,Undefined,Units,Percentage (%),,98.89558232931726
2015,,0,,,,Undefined,Units,Percentage (%),,99.08068277212946
2015,19 and under,0,,,,Undefined,Units,Percentage (%),,99.1198591774684
2015,20 to 24,0,,,,Undefined,Units,Percentage (%),,99.25100962479318
2015,25 to 29,0,,,,Undefined,Units,Percentage (%),,99.19117006582631
2015,30 to 34,0,,,,Undefined,Units,Percentage (%),,98.88469365895457
2015,35 to 39,0,,,,Undefined,Units,Percentage (%),,98.84484711211779
2015,40 to 44,0,,,,Undefined,Units,Percentage (%),,99.4549135648653
2015,45 and over,0,,,,Undefined,Units,Percentage (%),,99.56647398843931
2015,,1,,,,Undefined,Units,Percentage (%),,97.0420093533301
2015,19 and under,1,,,,Undefined,Units,Percentage (%),,97.83701114266987
2015,20 to 24,1,,,,Undefined,Units,Percentage (%),,97.2572315431752
2015,25 to 29,1,,,,Undefined,Units,Percentage (%),,97.35357296290992
2015,30 to 34,1,,,,Undefined,Units,Percentage (%),,96.80387230268992
2015,35 to 39,1,,,,Undefined,Units,Percentage (%),,96.58274956217163
2015,40 to 44,1,,,,Undefined,Units,Percentage (%),,97.71164468492842
2015,45 and over,1,,,,Undefined,Units,Percentage (%),,98.84393063583815
2015,,2,,,,Undefined,Units,Percentage (%),,96.01082707905472
2015,19 and under,2,,,,Undefined,Units,Percentage (%),,95.90517241379311
2015,20 to 24,2,,,,Undefined,Units,Percentage (%),,96.24342599549212
2015,25 to 29,2,,,,Undefined,Units,Percentage (%),,95.96715207128133
2015,30 to 34,2,,,,Undefined,Units,Percentage (%),,95.93271049140535
2015,35 to 39,2,,,,Undefined,Units,Percentage (%),,95.69042458243018
2015,40 to 44,2,,,,Undefined,Units,Percentage (%),,97.60398696568909
2015,45 and over,2,,,,Undefined,Units,Percentage (%),,98.98648648648648
2015,,3,,,,Undefined,Units,Percentage (%),,95.61164165529786
2015,19 and under,3,,,,Undefined,Units,Percentage (%),,97.5
2015,20 to 24,3,,,,Undefined,Units,Percentage (%),,95.54908485856906
2015,25 to 29,3,,,,Undefined,Units,Percentage (%),,95.15593895155939
2015,30 to 34,3,,,,Undefined,Units,Percentage (%),,95.42402568968033
2015,35 to 39,3,,,,Undefined,Units,Percentage (%),,95.89841781719238
2015,40 to 44,3,,,,Undefined,Units,Percentage (%),,97.07052441229656
2015,45 and over,3,,,,Undefined,Units,Percentage (%),,98.49246231155779
2015,,4 and over,,,,Undefined,Units,Percentage (%),,95.46159659520306
2015,19 and under,4 and over,,,,Undefined,Units,Percentage (%),,83.33333333333334
2015,20 to 24,4 and over,,,,Undefined,Units,Percentage (%),,94.7080291970803
2015,25 to 29,4 and over,,,,Undefined,Units,Percentage (%),,94.78984238178634
2015,30 to 34,4 and over,,,,Undefined,Units,Percentage (%),,95.01020639600817
2015,35 to 39,4 and over,,,,Undefined,Units,Percentage (%),,95.74927039715773
2015,40 to 44,4 and over,,,,Undefined,Units,Percentage (%),,97.04239237594479
2015,45 and over,4 and over,,,,Undefined,Units,Percentage (%),,97.41697416974169
2015,,Not stated,,,,Undefined,Units,Percentage (%),,97.88007268322228
2015,19 and under,Not stated,,,,Undefined,Units,Percentage (%),,100.0
2015,20 to 24,Not stated,,,,Undefined,Units,Percentage (%),,98.3451536643026
2015,25 to 29,Not stated,,,,Undefined,Units,Percentage (%),,98.15384615384616
2015,30 to 34,Not stated,,,,Undefined,Units,Percentage (%),,97.8866474543708
2015,35 to 39,Not stated,,,,Undefined,Units,Percentage (%),,97.35973597359737
2015,40 to 44,Not stated,,,,Undefined,Units,Percentage (%),,95.54140127388536
2015,45 and over,Not stated,,,,Undefined,Units,Percentage (%),,100.0
2016,,,,,,Undefined,Units,Percentage (%),,97.54056173894638
2016,19 and under,,,,,Undefined,Units,Percentage (%),,98.80459770114942
2016,20 to 24,,,,,Undefined,Units,Percentage (%),,98.15153852587754
2016,25 to 29,,,,,Undefined,Units,Percentage (%),,97.71952964662385
2016,30 to 34,,,,,Undefined,Units,Percentage (%),,97.22716060874018
2016,35 to 39,,,,,Undefined,Units,Percentage (%),,96.88670648982485
2016,40 to 44,,,,,Undefined,Units,Percentage (%),,97.95648560852158
2016,45 and over,,,,,Undefined,Units,Percentage (%),,98.89558232931726
2016,,0,,,,Undefined,Units,Percentage (%),,99.08068277212946
2016,19 and under,0,,,,Undefined,Units,Percentage (%),,99.1198591774684
2016,20 to 24,0,,,,Undefined,Units,Percentage (%),,99.25100962479318
2016,25 to 29,0,,,,Undefined,Units,Percentage (%),,99.19117006582631
2016,30 to 34,0,,,,Undefined,Units,Percentage (%),,98.88469365895457
2016,35 to 39,0,,,,Undefined,Units,Percentage (%),,98.84484711211779
2016,40 to 44,0,,,,Undefined,Units,Percentage (%),,99.4549135648653
2016,45 and over,0,,,,Undefined,Units,Percentage (%),,99.56647398843931
2016,,1,,,,Undefined,Units,Percentage (%),,97.0420093533301
2016,19 and under,1,,,,Undefined,Units,Percentage (%),,97.83701114266987
2016,20 to 24,1,,,,Undefined,Units,Percentage (%),,97.2572315431752
2016,25 to 29,1,,,,Undefined,Units,Percentage (%),,97.35357296290992
2016,30 to 34,1,,,,Undefined,Units,Percentage (%),,96.80387230268992
2016,35 to 39,1,,,,Undefined,Units,Percentage (%),,96.58274956217163
2016,40 to 44,1,,,,Undefined,Units,Percentage (%),,97.71164468492842
2016,45 and over,1,,,,Undefined,Units,Percentage (%),,98.84393063583815
2016,,2,,,,Undefined,Units,Percentage (%),,96.01082707905472
2016,19 and under,2,,,,Undefined,Units,Percentage (%),,95.90517241379311
