Year,Flow of offical development assistance (ODA),Aid broad category description (DAC 5 code),Aid description (CRS code),Value
2009,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2009,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2009,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2009,Bilateral,Agriculture (311),Agricultural development (31120),22278.18
2009,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2009,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2009,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2009,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2009,Bilateral,Agriculture (311),Agricultural land resources (31130),6453.61
2009,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),27890.98
2009,Bilateral,Agriculture (311),Agricultural research (31182),8242.8
2009,Bilateral,Agriculture (311),Agricultural services (31191),95.52
2009,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2009,Bilateral,Agriculture (311),Food crop production (31161),0.0
2009,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2009,Bilateral,Agriculture (311),Livestock (31163),1103.56
2009,Bilateral,Agriculture (311),Livestock/veterinary services (31195),2115.56
2009,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2009,Bilateral,Agriculture (311),,68180.20999999999
2009,Bilateral,Other multisector (430),Rural development (43040),92111.27
2009,Bilateral,Other multisector (430),,92111.27
2009,Bilateral,,,160291.48
2010,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2010,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2010,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2010,Bilateral,Agriculture (311),Agricultural development (31120),17041.622343
2010,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2010,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2010,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2010,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2010,Bilateral,Agriculture (311),Agricultural land resources (31130),7097.771879999999
2010,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),31739.324848
2010,Bilateral,Agriculture (311),Agricultural research (31182),12934.00357
2010,Bilateral,Agriculture (311),Agricultural services (31191),323.8047
2010,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2010,Bilateral,Agriculture (311),Food crop production (31161),0.0
2010,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2010,Bilateral,Agriculture (311),Livestock (31163),861.6225199999997
2010,Bilateral,Agriculture (311),Livestock/veterinary services (31195),0.0
2010,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2010,Bilateral,Agriculture (311),,69998.149861
2010,Bilateral,Other multisector (430),Rural development (43040),95971.12055999998
2010,Bilateral,Other multisector (430),,95971.12055999998
2010,Bilateral,,,165969.270421
2010,Multilateral,Agriculture (311),Agrarian reform (31164),40.99747174588153
2010,Multilateral,Agriculture (311),Agricultural alternative development (31165),2736.824838037221
2010,Multilateral,Agriculture (311),Agricultural co-operatives (31194),2538.768806630302
2010,Multilateral,Agriculture (311),Agricultural development (31120),34243.62240858883
2010,Multilateral,Agriculture (311),Agricultural education/training (31181),1226.327945218461
2010,Multilateral,Agriculture (311),Agricultural extension (31166),5327.100882999834
2010,Multilateral,Agriculture (311),Agricultural financial services (31193),7917.746422712187
2010,Multilateral,Agriculture (311),Agricultural inputs (31150),3161.327350722237
2010,Multilateral,Agriculture (311),Agricultural land resources (31130),8109.828756671621
2010,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),34787.94585651049
2010,Multilateral,Agriculture (311),Agricultural research (31182),8407.939332766495
2010,Multilateral,Agriculture (311),Agricultural services (31191),2867.360620617174
2010,Multilateral,Agriculture (311),Agricultural water resources (31140),16647.671228248233
2010,Multilateral,Agriculture (311),Food crop production (31161),8802.31005796869
2010,Multilateral,Agriculture (311),Industrial crops/export crops (31162),8332.638969863448
2010,Multilateral,Agriculture (311),Livestock (31163),2995.641706731289
