Year,Series,Sex,Unit measure,Unit multiplier,Observation status,Value
2015,Primary education,,Percentage (%),Units,Undefined,102.010498046875
2016,Primary education,,Percentage (%),Units,Undefined,100.882553100586
2017,Primary education,,Percentage (%),Units,Undefined,100.122863769531
2018,Primary education,,Percentage (%),Units,Undefined,100.597457885742
2017,Lower secondary education,,Percentage (%),Units,Undefined,100.895210266113
2018,Lower secondary education,,Percentage (%),Units,Undefined,101.393989562988
2018/19,Upper secondary education,,Percentage (%),Units,Undefined,59.8
2018/19,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.9
2018/19,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.9
2017/18,Upper secondary education,,Percentage (%),Units,Undefined,59.4
2017/18,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.7
2017/18,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.5
2016/17,Upper secondary education,,Percentage (%),Units,Undefined,59.1
2016/17,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.1
2016/17,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.2
2015/16,Upper secondary education,,Percentage (%),Units,Undefined,59.3
2015/16,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.8
2015/16,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.0
2014/15,Upper secondary education,,Percentage (%),Units,Undefined,53.8
2014/15,Upper secondary education,Girls,Percentage (%),Units,Undefined,58.9
2014/15,Upper secondary education,Boys,Percentage (%),Units,Undefined,49.0
2013/14,Upper secondary education,,Percentage (%),Units,Undefined,53.4
2013/14,Upper secondary education,Girls,Percentage (%),Units,Undefined,58.9
2013/14,Upper secondary education,Boys,Percentage (%),Units,Undefined,48.2
2012/13,Upper secondary education,,Percentage (%),Units,Undefined,59.2
2012/13,Upper secondary education,Girls,Percentage (%),Units,Undefined,64.8
2012/13,Upper secondary education,Boys,Percentage (%),Units,Undefined,53.8
2011/12,Upper secondary education,,Percentage (%),Units,Undefined,59.4
2011/12,Upper secondary education,Girls,Percentage (%),Units,Undefined,64.3
2011/12,Upper secondary education,Boys,Percentage (%),Units,Undefined,54.7
2010/11,Upper secondary education,,Percentage (%),Units,Undefined,58.9
2010/11,Upper secondary education,Girls,Percentage (%),Units,Undefined,62.8
2010/11,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.2
2009/10,Upper secondary education,,Percentage (%),Units,Undefined,53.4
2009/10,Upper secondary education,Girls,Percentage (%),Units,Undefined,57.8
2009/10,Upper secondary education,Boys,Percentage (%),Units,Undefined,49.3
