Year,Country,Region,Value
2008,,,4.27828765
2009,,,3.753583733
2010,,,3.0353970319999997
2011,,,3.097095525
2012,,,2.82866337
2013,,,2.761064929
2014,,,2.870111213
2015,,,2.7706957460000003
2016,,,2.833288397
2008,England,,4.097197963999999
2009,England,,3.601780966
2010,England,,2.9500878569999998
2011,England,,3.001476259
2012,England,,2.787244105
2013,England,,2.6547456830000002
2014,England,,2.7100370789999997
2015,England,,2.670375623
2016,England,,2.710424277
2008,England,North East,2.95799031
2009,England,North East,2.83446602
2010,England,North East,1.9714960330000002
2011,England,North East,2.233826996
2012,England,North East,2.9589095839999997
2013,England,North East,2.91134086
2014,England,North East,2.176644226
2015,England,North East,2.362245825
2016,England,North East,2.123747747
2008,England,North West,3.8657495589999997
2009,England,North West,3.3637954839999997
2010,England,North West,2.763563863
2011,England,North West,2.976206926
2012,England,North West,2.329081748
2013,England,North West,2.0976281180000003
2014,England,North West,2.565543683
2015,England,North West,2.467299569
2016,England,North West,2.57631181
2008,England,Yorkshire and The Humber,4.308790221000001
2009,England,Yorkshire and The Humber,3.924688858
2010,England,Yorkshire and The Humber,3.235144786
2011,England,Yorkshire and The Humber,3.271427091
2012,England,Yorkshire and The Humber,2.708451554
2013,England,Yorkshire and The Humber,3.0912126939999998
2014,England,Yorkshire and The Humber,2.947746345
2015,England,Yorkshire and The Humber,2.7640830960000002
2016,England,Yorkshire and The Humber,2.543431395
2008,England,East Midlands,5.516620226000001
2009,England,East Midlands,5.076422522
2010,England,East Midlands,4.060286603
2011,England,East Midlands,4.121259351
2012,England,East Midlands,3.7217603230000003
2013,England,East Midlands,3.2184890889999997
2014,England,East Midlands,3.6442732189999996
2015,England,East Midlands,3.72030332
2016,England,East Midlands,4.042809757
2008,England,West Midlands,4.093707698
2009,England,West Midlands,4.052093277
2010,England,West Midlands,2.802798343
2011,England,West Midlands,3.387614205
2012,England,West Midlands,3.119146616
2013,England,West Midlands,2.7490381889999997
2014,England,West Midlands,2.730478653
2015,England,West Midlands,2.834289689
2016,England,West Midlands,2.672075637
2008,England,East of England,4.607285818
2009,England,East of England,4.085931131000001
2010,England,East of England,3.392222546
2011,England,East of England,3.39450377
2012,England,East of England,3.165549075
2013,England,East of England,2.9894281730000003
2014,England,East of England,3.123762645
2015,England,East of England,3.19265308
2016,England,East of England,3.47440732
2008,England,London,2.624113866
2009,England,London,2.329213856
2010,England,London,1.5629855259999998
2011,England,London,1.9379828430000001
2012,England,London,1.624867649
2013,England,London,1.580221238
2014,England,London,1.510770564
2015,England,London,1.567955961
2016,England,London,1.319998015
2008,England,South East,4.201082811
2009,England,South East,3.462521502
2010,England,South East,3.310883445
2011,England,South East,2.9816993
2012,England,South East,2.670567606
2013,England,South East,2.672651587
2014,England,South East,2.783469303
2015,England,South East,2.626310739
2016,England,South East,3.102047274
2008,England,South West,5.0335789669999995
2009,England,South West,3.8646818019999998
2010,England,South West,3.649309007
2011,England,South West,3.018394663
2012,England,South West,3.820484426
2013,England,South West,3.533177278
2014,England,South West,3.411205312
2015,England,South West,3.1620235489999997
2016,England,South West,2.955065063
2008,Wales,,4.725866684
2009,Wales,,4.146237125
2010,Wales,,2.918032787
2011,Wales,,3.949343952
2012,Wales,,3.02527569
2013,Wales,,3.60109006
2014,Wales,,3.331177232
2015,Wales,,3.38808041
2016,Wales,,3.3084928689999997
2008,Scotland,,5.227853697
2009,Scotland,,4.1285192760000005
2010,Scotland,,3.952719395
2011,Scotland,,3.5095001789999998
2012,Scotland,,3.1993375489999996
2013,Scotland,,3.228410008
2014,Scotland,,3.7399955119999997
2015,Scotland,,3.015075377
2016,Scotland,,3.533961182
2008,Northern Ireland,,6.013938849
2009,Northern Ireland,,6.412758601
2010,Northern Ireland,,3.047429078
2011,Northern Ireland,,3.2519428980000002
2012,Northern Ireland,,2.632156175
2013,Northern Ireland,,3.115264798
2014,Northern Ireland,,4.292311872
2015,Northern Ireland,,3.99654353
2016,Northern Ireland,,3.6517909889999998
