Year,Age,Unit measure,Value
2019,By age 18,"Rate per 1,000 population",0.6
2018,By age 18,"Rate per 1,000 population",0.7
2017,By age 18,"Rate per 1,000 population",0.7
2016,By age 18,"Rate per 1,000 population",0.8
2015,By age 18,"Rate per 1,000 population",0.8
2014,By age 18,"Rate per 1,000 population",0.8
2013,By age 18,"Rate per 1,000 population",0.9
2012,By age 18,"Rate per 1,000 population",1.1
2011,By age 18,"Rate per 1,000 population",1.3
2010,By age 18,"Rate per 1,000 population",1.6
2009,By age 18,"Rate per 1,000 population",1.9
2008,By age 18,"Rate per 1,000 population",2.3
2007,By age 18,"Rate per 1,000 population",2.6
2006,By age 18,"Rate per 1,000 population",2.9
2005,By age 18,"Rate per 1,000 population",3.2
2004,By age 18,"Rate per 1,000 population",3.6
2003,By age 18,"Rate per 1,000 population",3.9
2002,By age 18,"Rate per 1,000 population",4.3
2001,By age 18,"Rate per 1,000 population",4.6
2000,By age 18,"Rate per 1,000 population",4.9
2019,By age 17,"Rate per 1,000 population",0.2
2018,By age 17,"Rate per 1,000 population",0.2
2017,By age 17,"Rate per 1,000 population",0.2
2016,By age 17,"Rate per 1,000 population",0.2
2015,By age 17,"Rate per 1,000 population",0.2
2014,By age 17,"Rate per 1,000 population",0.2
2013,By age 17,"Rate per 1,000 population",0.3
2012,By age 17,"Rate per 1,000 population",0.3
2011,By age 17,"Rate per 1,000 population",0.4
2010,By age 17,"Rate per 1,000 population",0.5
2009,By age 17,"Rate per 1,000 population",0.6
2008,By age 17,"Rate per 1,000 population",0.7
2007,By age 17,"Rate per 1,000 population",0.8
2006,By age 17,"Rate per 1,000 population",0.9
2005,By age 17,"Rate per 1,000 population",0.9
2004,By age 17,"Rate per 1,000 population",1.0
2003,By age 17,"Rate per 1,000 population",1.1
2002,By age 17,"Rate per 1,000 population",1.2
2001,By age 17,"Rate per 1,000 population",1.3
2000,By age 17,"Rate per 1,000 population",1.4
