Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2000,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,738848.5
2001,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,743278.9
2002,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,721972.0
2003,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,723025.1
2004,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,751963.4
2005,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,732665.5
2006,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,724263.2
2007,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,718922.7
2008,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,674929.5
2009,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,591620.1
2010,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,575348.7
2011,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,575552.2
2012,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,557471.9
2013,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,572774.3
2014,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,588388.1
2015,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,566551.5
2016,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,558366.1
2017,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,569638.0
2018,Domestic material consumption (1000 metric tonnes),,Undefined,Units,1000 metric tonnes,565674.4
2000,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,175263.0
2001,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,168885.8
2002,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,175272.4
2003,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,170633.4
2004,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,173859.9
2005,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,172350.3
2006,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,167647.7
2007,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,161950.6
2008,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,169174.8
2009,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,163601.2
2010,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,160568.2
2011,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,165010.8
2012,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,159181.0
2013,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,169774.2
2014,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,181060.1
2015,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,174796.3
2016,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,168449.2
2017,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,182659.5
2018,Domestic material consumption (1000 metric tonnes),Biomass,Undefined,Units,1000 metric tonnes,174673.5
2000,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,16965.5
2001,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,20304.7
2002,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,18886.7
2003,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,17402.6
2004,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,19292.5
2005,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,17271.4
2006,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,18078.5
2007,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,20529.9
2008,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,15437.2
2009,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,6254.2
2010,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,9437.8
2011,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,8977.4
2012,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,9852.3
2013,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,12656.4
2014,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,14883.8
2015,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,13634.0
2016,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,12194.2
2017,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,11562.2
2018,Domestic material consumption (1000 metric tonnes),Metal ores,Undefined,Units,1000 metric tonnes,11252.4
2000,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,298038.9
2001,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,303859.5
2002,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,289732.3
2003,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,283812.5
2004,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,295079.5
2005,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,284719.5
2006,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,284162.3
2007,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,289537.1
2008,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,256282.8
2009,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,205879.2
2010,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,203157.2
2011,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,200976.7
2012,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,186858.6
2013,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,198903.2
2014,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,213501.4
2015,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,209564.2
2016,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,219965.7
2017,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,221178.8
2018,Domestic material consumption (1000 metric tonnes),Non-metallic minerals,Undefined,Units,1000 metric tonnes,226403.7
2000,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,240583.6
2001,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,242228.8
2002,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,231508.5
2003,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,244318.5
2004,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,254160.8
2005,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,250832.6
2006,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,245699.9
2007,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,239396.4
2008,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,226307.8
2009,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,208732.5
2010,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,193340.4
2011,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,192713.8
2012,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,194183.8
2013,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,183288.7
2014,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,170658.9
2015,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,160871.0
2016,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,149034.9
2017,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,145566.1
2018,Domestic material consumption (1000 metric tonnes),Fossil energy materials,Undefined,Units,1000 metric tonnes,144489.0
2000,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),12.5
