Year,Series,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
1990,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684
1991,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1992,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1993,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1994,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,38.59649122807017
1995,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,35.08771929824561
1996,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1997,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1998,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
1999,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2000,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,40.35087719298245
2001,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2002,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2003,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2004,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,47.368421052631575
2005,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2006,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2007,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
2008,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,47.368421052631575
2009,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,49.122807017543856
2010,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,56.14035087719298
2011,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2012,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,56.14035087719298
2013,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684210527
2014,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2015,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2016,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684210527
2017,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,61.40350877192983
2018,B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,61.40350877192983
1990,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
1991,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
1992,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
1993,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1994,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1995,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1996,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
1997,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1998,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1999,B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
