Year,Series,Age,Disposable income decile,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Observation status,Unit multiplier,Unit measure,Value
2001/02,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),4.5
2002/03,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),4.8
2003/04,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.0
2004/05,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),4.9
2005/06,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.5
2006/07,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.8
2007/08,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.7
2008/09,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.1
2009/10,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.3
2010/11,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),5.0
2011/12,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),6.6
2012/13,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),6.4
2013/14,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),6.2
2014/15,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),7.0
2015/16,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),7.2
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),4.1
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.5
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Undefined,Units,GBP (£),0.2
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Undefined,Units,GBP (£),1.5
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Undefined,Units,GBP (£),0.3
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Undefined,Units,GBP (£),0.4
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.6
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Undefined,Units,GBP (£),1.6
2014/15,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Undefined,Units,GBP (£),0.0
2014/15,Average weekly household expenditure on health,,,Hospital services,,,,,,Undefined,Units,GBP (£),2.9
2014/15,Average weekly household expenditure on health,,,Hospital services,Outpatient services,,,,,Undefined,Units,GBP (£),2.8
2014/15,Average weekly household expenditure on health,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),1.1
2014/15,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),1.7
2014/15,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Other services,,,,Undefined,Units,GBP (£),0.0
2014/15,Average weekly household expenditure on health,,,Hospital services,Inpatient hospital services,,,,,Undefined,Units,GBP (£),0.1
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.8
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.2
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Undefined,Units,GBP (£),0.2
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Undefined,Units,GBP (£),1.4
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Undefined,Units,GBP (£),0.2
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Undefined,Units,GBP (£),0.5
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.6
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Undefined,Units,GBP (£),1.5
2015/16,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Undefined,Units,GBP (£),0.0
2015/16,Average weekly household expenditure on health,,,Hospital services,,,,,,Undefined,Units,GBP (£),3.4
2015/16,Average weekly household expenditure on health,,,Hospital services,Outpatient services,,,,,Undefined,Units,GBP (£),3.4
2015/16,Average weekly household expenditure on health,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),0.9
2015/16,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),2.4
2015/16,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Other services,,,,Undefined,Units,GBP (£),0.0
2015/16,Average weekly household expenditure on health,,,Hospital services,Inpatient hospital services,,,,,Undefined,Units,GBP (£),0.0
2015/16,Average weekly household expenditure on health,,,,,,Owner occupied,Owned outright,,Undefined,Units,GBP (£),10.5
2015/16,Average weekly household expenditure on health,,,,,,Owner occupied,Owner occupied buying with a mortgage,,Undefined,Units,GBP (£),8.5
2015/16,Average weekly household expenditure on health,,,,,,Owner occupied,,,Undefined,Units,GBP (£),9.5
2015/16,Average weekly household expenditure on health,,,,,,Social rented,Council,,Undefined,Units,GBP (£),2.2
2015/16,Average weekly household expenditure on health,,,,,,Social rented,Registered social landlord,,Undefined,Units,GBP (£),3.1
2015/16,Average weekly household expenditure on health,,,,,,Social rented,,,Undefined,Units,GBP (£),2.6
2015/16,Average weekly household expenditure on health,,,,,,Private rented,Rent free,,Undefined,Units,GBP (£),3.5
2015/16,Average weekly household expenditure on health,,,,,,Private rented,Rent paid unfurnished,,Undefined,Units,GBP (£),4.0
2015/16,Average weekly household expenditure on health,,,,,,Private rented,Rent paid furnished,,Undefined,Units,GBP (£),2.0
