Year,Region,County,Local Authority,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,,,,2,Undefined,Units,Percentage (%),,58.0
2016,,,,2,Undefined,Units,Percentage (%),,68.0
2017,,,,2,Undefined,Units,Percentage (%),,71.0
2018,,,,2,Undefined,Units,Percentage (%),,72.0
2011,,,,3,Undefined,Units,Percentage (%),,92.0
2012,,,,3,Undefined,Units,Percentage (%),,93.0
2013,,,,3,Undefined,Units,Percentage (%),,93.0
2014,,,,3,Undefined,Units,Percentage (%),,93.0
2015,,,,3,Undefined,Units,Percentage (%),,93.0
2016,,,,3,Undefined,Units,Percentage (%),,93.0
2017,,,,3,Undefined,Units,Percentage (%),,93.0
2018,,,,3,Undefined,Units,Percentage (%),,92.0
2011,,,,4,Undefined,Units,Percentage (%),,96.0
2012,,,,4,Undefined,Units,Percentage (%),,97.0
2013,,,,4,Undefined,Units,Percentage (%),,98.0
2014,,,,4,Undefined,Units,Percentage (%),,98.0
2015,,,,4,Undefined,Units,Percentage (%),,97.0
2016,,,,4,Undefined,Units,Percentage (%),,96.0
2017,,,,4,Undefined,Units,Percentage (%),,95.0
2018,,,,4,Undefined,Units,Percentage (%),,95.0
2011,,,,3 to 4,Undefined,Units,Percentage (%),,94.0
2012,,,,3 to 4,Undefined,Units,Percentage (%),,95.0
2013,,,,3 to 4,Undefined,Units,Percentage (%),,95.0
2014,,,,3 to 4,Undefined,Units,Percentage (%),,95.0
2015,,,,3 to 4,Undefined,Units,Percentage (%),,95.0
2016,,,,3 to 4,Undefined,Units,Percentage (%),,95.0
2017,,,,3 to 4,Undefined,Units,Percentage (%),,94.0
2018,,,,3 to 4,Undefined,Units,Percentage (%),,94.0
2015,North East,,,2,Undefined,Units,Percentage (%),E12000001,65.0
2016,North East,,,2,Undefined,Units,Percentage (%),E12000001,78.0
2017,North East,,,2,Undefined,Units,Percentage (%),E12000001,81.0
2018,North East,,,2,Undefined,Units,Percentage (%),E12000001,84.0
2011,North East,,,3,Undefined,Units,Percentage (%),E12000001,96.0
2012,North East,,,3,Undefined,Units,Percentage (%),E12000001,97.0
2013,North East,,,3,Undefined,Units,Percentage (%),E12000001,96.0
2014,North East,,,3,Undefined,Units,Percentage (%),E12000001,95.0
2015,North East,,,3,Undefined,Units,Percentage (%),E12000001,96.0
2016,North East,,,3,Undefined,Units,Percentage (%),E12000001,96.0
2017,North East,,,3,Undefined,Units,Percentage (%),E12000001,97.0
2018,North East,,,3,Undefined,Units,Percentage (%),E12000001,98.0
2011,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2012,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2013,North East,,,4,Undefined,Units,Percentage (%),E12000001,100.0
2014,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2015,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2016,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2017,North East,,,4,Undefined,Units,Percentage (%),E12000001,98.0
2018,North East,,,4,Undefined,Units,Percentage (%),E12000001,99.0
2011,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,98.0
2012,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,98.0
2013,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,98.0
2014,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,97.0
2015,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,97.0
2016,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,98.0
2017,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,98.0
2018,North East,,,3 to 4,Undefined,Units,Percentage (%),E12000001,99.0
2015,North East,,Darlington,2,Undefined,Units,Percentage (%),E06000005,57.0
2016,North East,,Darlington,2,Undefined,Units,Percentage (%),E06000005,79.0
2017,North East,,Darlington,2,Undefined,Units,Percentage (%),E06000005,79.0
2018,North East,,Darlington,2,Undefined,Units,Percentage (%),E06000005,76.0
2011,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,100.0
2012,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,102.0
2013,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,101.0
2014,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,96.0
2015,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,95.0
2016,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,95.0
2017,North East,,Darlington,3,Undefined,Units,Percentage (%),E06000005,92.0
