Year,Observation status,Unit multiplier,Unit measure,Value
2009,Definition differs,Units,"Rate per 1,000,000 population",1.71858600654
2010,Definition differs,Units,"Rate per 1,000,000 population",1.5137161163410977
2011,Definition differs,Units,"Rate per 1,000,000 population",0.6794643513892558
2012,Definition differs,Units,"Rate per 1,000,000 population",0.6278939041391237
2013,Definition differs,Units,"Rate per 1,000,000 population",0.14039323270923967
2014,Definition differs,Units,"Rate per 1,000,000 population",0.0
2015,Definition differs,Units,"Rate per 1,000,000 population",0.015358615847136554
2016,Definition differs,Units,"Rate per 1,000,000 population",0.0
2017,Definition differs,Units,"Rate per 1,000,000 population",0.0
2018,Definition differs,Units,"Rate per 1,000,000 population",0.015052182152477101
2019,Definition differs,Units,"Rate per 1,000,000 population",0.0
2020,Definition differs,Units,"Rate per 1,000,000 population",0.014907298813256776
