Year,Series,Income group,Observation status,Unit multiplier,Units,Value
2002/03-2007/08,Growth rates of household income per capita,,Normal value,Units,Percentage (%),1.69
2003/04-2008/09,Growth rates of household income per capita,,Normal value,Units,Percentage (%),1.0
2004/05-2009/10,Growth rates of household income per capita,,Normal value,Units,Percentage (%),1.18
2005/06-2010/11,Growth rates of household income per capita,,Normal value,Units,Percentage (%),0.76
2006/07-2011/12,Growth rates of household income per capita,,Normal value,Units,Percentage (%),-0.84
2007/08-2012/13,Growth rates of household income per capita,,Normal value,Units,Percentage (%),-1.11
2008/09-2013/14,Growth rates of household income per capita,,Normal value,Units,Percentage (%),-0.65
2009/10-2014/15,Growth rates of household income per capita,,Normal value,Units,Percentage (%),-0.15
2010/11-2015/16,Growth rates of household income per capita,,Normal value,Units,Percentage (%),0.26
2011/12-2016/17,Growth rates of household income per capita,,Normal value,Units,Percentage (%),2.22
2012/13-2017/18,Growth rates of household income per capita,,Normal value,Units,Percentage (%),2.4
2002/03-2007/08,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.22999999999999998
2003/04-2008/09,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.8
2004/05-2009/10,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-1.2
2005/06-2010/11,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.8699999999999999
2006/07-2011/12,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-2.15
2007/08-2012/13,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.63
2008/09-2013/14,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.5
2009/10-2014/15,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),0.45000000000000007
2010/11-2015/16,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),-0.28
2011/12-2016/17,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),2.08
2012/13-2017/18,Growth rates of household expenditure per capita,,Normal value,Units,Percentage (%),1.37
2002/03-2007/08,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.07
2003/04-2008/09,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.01
2004/05-2009/10,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.16
2005/06-2010/11,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),0.39
2006/07-2011/12,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),0.14
2007/08-2012/13,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.28
2008/09-2013/14,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.15
2009/10-2014/15,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),0.11
2010/11-2015/16,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),1.7500000000000002
2011/12-2016/17,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),2.98
2012/13-2017/18,Growth rates of household income per capita,Bottom 40%,Normal value,Units,Percentage (%),3.7699999999999996
2002/03-2007/08,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),0.39
2003/04-2008/09,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.4099999999999999
2004/05-2009/10,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-1.45
2005/06-2010/11,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.32
2006/07-2011/12,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-1.32
2007/08-2012/13,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),0.0
2008/09-2013/14,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.38
2009/10-2014/15,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),0.66
2010/11-2015/16,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),-0.9899999999999999
2011/12-2016/17,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),2.19
2012/13-2017/18,Growth rates of household expenditure per capita,Bottom 40%,Normal value,Units,Percentage (%),0.66
