Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),40898.82
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),42974.82
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),66906.52
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),66185.89
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),79195.3
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),119066.08
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),91435.57
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),100842.46
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),102733.6735919
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),111666.2895742
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),97574.8576545
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP (£ thousands),66070.4835686
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),9069.15
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),16332.84
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),14637.98
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),8868.24
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),8122.68
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),9842.48
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP (£ thousands),20573.65
