Year,Flow of overseas developmend assistance (ODA),Aid description (CRS code),Value
2009,Bilateral,Basic drinking water supply (14031),0.0
2009,Bilateral,Basic drinking water supply and basic sanitation (14030),52982.14999999999
2009,Bilateral,Basic sanitation (14032),0.0
2009,Bilateral,Education and training in water supply and sanitation (14081),0.0
2009,Bilateral,River basins development (14040),2500.0
2009,Bilateral,Sanitation - large systems (14022),0.0
2009,Bilateral,Waste management/disposal (14050),164.0
2009,Bilateral,Water resources policy/administrative management (14010),17135.47
2009,Bilateral,Water resources protection (14015),0.08
2009,Bilateral,Water supply - large systems (14021),0.0
2009,Bilateral,Water supply & sanit. - large systems (14020),401.05
2009,Bilateral,,73182.75
2010,Bilateral,Basic drinking water supply (14031),743.09815
2010,Bilateral,Basic drinking water supply and basic sanitation (14030),65999.73079
2010,Bilateral,Basic sanitation (14032),1399.67926
2010,Bilateral,Education and training in water supply and sanitation (14081),7.5
2010,Bilateral,River basins development (14040),2887.28
2010,Bilateral,Sanitation - large systems (14022),0.0
2010,Bilateral,Waste management/disposal (14050),1888.97647
2010,Bilateral,Water resources policy/administrative management (14010),13059.736968
2010,Bilateral,Water resources protection (14015),4571.0202
2010,Bilateral,Water supply - large systems (14021),93.515
2010,Bilateral,Water supply & sanit. - large systems (14020),1749.25768
2010,Bilateral,,92399.794518
2010,Multilateral,Basic drinking water supply (14031),7628.596525488145
2010,Multilateral,Basic drinking water supply and basic sanitation (14030),15056.98331854488
2010,Multilateral,Basic sanitation (14032),5892.540827496901
2010,Multilateral,Education and training in water supply and sanitation (14081),229.6555409037883
2010,Multilateral,River basins development (14040),3329.352861490815
2010,Multilateral,Sanitation - large systems (14022),7562.727537991896
2010,Multilateral,Waste management/disposal (14050),6316.804736198304
2010,Multilateral,Water resources policy/administrative management (14010),20791.83064647486
2010,Multilateral,Water resources protection (14015),3974.399688926338
2010,Multilateral,Water supply - large systems (14021),19292.64174727136
2010,Multilateral,Water supply & sanit. - large systems (14020),37681.96048348983
2010,Multilateral,,127757.4939142771
2010,,Basic drinking water supply (14031),8371.694675488145
2010,,Basic drinking water supply and basic sanitation (14030),81056.71410854488
2010,,Basic sanitation (14032),7292.220087496901
2010,,Education and training in water supply and sanitation (14081),237.1555409037883
2010,,River basins development (14040),6216.632861490816
2010,,Sanitation - large systems (14022),7562.727537991896
2010,,Waste management/disposal (14050),8205.781206198304
2010,,Water resources policy/administrative management (14010),33851.56761447486
2010,,Water resources protection (14015),8545.419888926337
2010,,Water supply - large systems (14021),19386.15674727136
2010,,Water supply & sanit. - large systems (14020),39431.21816348983
2010,,,220157.2884322771
2011,Bilateral,Basic drinking water supply (14031),2806.21285
2011,Bilateral,Basic drinking water supply and basic sanitation (14030),72040.36902
2011,Bilateral,Basic sanitation (14032),4517.24424
2011,Bilateral,Education and training in water supply and sanitation (14081),10.324091
2011,Bilateral,River basins development (14040),2100.42855
2011,Bilateral,Sanitation - large systems (14022),31.11
2011,Bilateral,Waste management/disposal (14050),906.032122
2011,Bilateral,Water resources policy/administrative management (14010),22103.40852
2011,Bilateral,Water resources protection (14015),2079.00611
2011,Bilateral,Water supply - large systems (14021),0.0
2011,Bilateral,Water supply & sanit. - large systems (14020),3062.05562
2011,Bilateral,,109656.191123
2011,Multilateral,Basic drinking water supply (14031),8441.32272642561
2011,Multilateral,Basic drinking water supply and basic sanitation (14030),9636.616186877904
2011,Multilateral,Basic sanitation (14032),3042.005035809661
2011,Multilateral,Education and training in water supply and sanitation (14081),139.9125455288216
2011,Multilateral,River basins development (14040),4699.442826317211
2011,Multilateral,Sanitation - large systems (14022),12415.12721443584
2011,Multilateral,Waste management/disposal (14050),6469.683102944101
2011,Multilateral,Water resources policy/administrative management (14010),18403.52731527099
2011,Multilateral,Water resources protection (14015),1786.916154725505
2011,Multilateral,Water supply - large systems (14021),23764.54211236682
2011,Multilateral,Water supply & sanit. - large systems (14020),37155.10575258986
2011,Multilateral,,125954.2009732923
2011,,Basic drinking water supply (14031),11247.53557642561
2011,,Basic drinking water supply and basic sanitation (14030),81676.9852068779
2011,,Basic sanitation (14032),7559.249275809661
2011,,Education and training in water supply and sanitation (14081),150.2366365288216
2011,,River basins development (14040),6799.871376317211
2011,,Sanitation - large systems (14022),12446.23721443584
2011,,Waste management/disposal (14050),7375.715224944101
2011,,Water resources policy/administrative management (14010),40506.93583527098
2011,,Water resources protection (14015),3865.922264725505
2011,,Water supply - large systems (14021),23764.54211236682
2011,,Water supply & sanit. - large systems (14020),40217.16137258986
2011,,,235610.3920962923
2012,Bilateral,Basic drinking water supply (14031),2661.86015
