Year,Series,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2001,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,65.0
2002,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,41.0
2003,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,51.0
2004,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,40.0
2005,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,43.0
2006,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,44.0
2007,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,55.0
2008,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,67.0
2009,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,69.0
2010,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,61.0
2011,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,33.0
2012,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,38.0
2013,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,40.0
2014,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,32.0
2015,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,17.0
2016,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,14.0
2017,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,14.0
2018,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,25.0
2019,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,15.0
2020,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,,13.0
2001,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,61.0
2002,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,37.0
2003,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,49.0
2004,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,36.0
2005,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,42.0
2006,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,41.0
2007,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,51.0
2008,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,66.0
2009,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,63.0
2010,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,54.0
2011,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,31.0
