Year,Units,Income/expenditure,Income distribution,Value
2001 - 2006,Percentage (%),Expenditure,Bottom 40%,1.64359483943
2002 - 2007,Percentage (%),Expenditure,Bottom 40%,0.860345418008856
2003 - 2008,Percentage (%),Expenditure,Bottom 40%,0.778446708522717
2004 - 2009,Percentage (%),Expenditure,Bottom 40%,-0.477106820213224
2005 - 2010,Percentage (%),Expenditure,Bottom 40%,-0.206243940224026
2006 - 2011,Percentage (%),Expenditure,Bottom 40%,-1.4723224304624098
2007 - 2012,Percentage (%),Expenditure,Bottom 40%,-0.6063439749256601
2008 - 2013,Percentage (%),Expenditure,Bottom 40%,-0.118911887566208
2009 - 2014,Percentage (%),Expenditure,Bottom 40%,-0.37605439461438894
2010 - 2015,Percentage (%),Expenditure,Bottom 40%,-0.405085769373181
2011  - 2016,Percentage (%),Expenditure,Bottom 40%,1.7841008708983002
2001 - 2006,Percentage (%),Expenditure,,1.53580076003461
2002 - 2007,Percentage (%),Expenditure,,0.48373561344605603
2003 - 2008,Percentage (%),Expenditure,,-0.032381925558711
2004 - 2009,Percentage (%),Expenditure,,-0.87118657047297
2005 - 2010,Percentage (%),Expenditure,,-0.5455707400173979
2006 - 2011,Percentage (%),Expenditure,,-2.18924468292585
2007 - 2012,Percentage (%),Expenditure,,-0.714310672886509
2008 - 2013,Percentage (%),Expenditure,,-0.565571622958904
2009 - 2014,Percentage (%),Expenditure,,0.40011416261045396
2010 - 2015,Percentage (%),Expenditure,,-0.335306318761086
2011  - 2016,Percentage (%),Expenditure,,1.6924438375820903
2001 - 2006,Percentage (%),Income,Bottom 40%,0.180881443920877
2002 - 2007,Percentage (%),Income,Bottom 40%,1.00799938387006
2003 - 2008,Percentage (%),Income,Bottom 40%,1.10155532601365
2004 - 2009,Percentage (%),Income,Bottom 40%,0.147574936722771
2005 - 2010,Percentage (%),Income,Bottom 40%,0.7420576955373679
2006 - 2011,Percentage (%),Income,Bottom 40%,0.10799903298908099
2007 - 2012,Percentage (%),Income,Bottom 40%,-0.36446277904161795
2008 - 2013,Percentage (%),Income,Bottom 40%,-0.20434576555357
2009 - 2014,Percentage (%),Income,Bottom 40%,0.0421865933093901
2010 - 2015,Percentage (%),Income,Bottom 40%,1.6409353831528202
2011  - 2016,Percentage (%),Income,Bottom 40%,2.54078364821213
2001 - 2006,Percentage (%),Income,,1.6721361472215701
2002 - 2007,Percentage (%),Income,,2.34630273070093
2003 - 2008,Percentage (%),Income,,1.6390072110665102
2004 - 2009,Percentage (%),Income,,1.48602612498145
2005 - 2010,Percentage (%),Income,,1.0638081812011
2006 - 2011,Percentage (%),Income,,-0.8627924196369592
2007 - 2012,Percentage (%),Income,,-1.15839224430033
2008 - 2013,Percentage (%),Income,,-0.682166128392525
2009 - 2014,Percentage (%),Income,,-0.18988902973526803
2010 - 2015,Percentage (%),Income,,0.197149809848018
2011  - 2016,Percentage (%),Income,,1.86512768753159
