Year,Units,Violence type,Sex,Age,Ethnicity,Ethnic group,Disability status,Household income,Area type,Region,Highest qualification,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014/15,(a) Physical violence (%),,,,,,,,,,,Undefined,Units,Percentage (%),,1.8080541271
2015/16,(a) Physical violence (%),,,,,,,,,,,Undefined,Units,Percentage (%),,1.7969733332441653
2016/17,(a) Physical violence (%),,,,,,,,,,,Undefined,Units,Percentage (%),,1.6663071735395631
2017/18,(a) Physical violence (%),,,,,,,,,,,Undefined,Units,Percentage (%),,1.7499497701555906
2014/15,(a) Physical violence (%),Violence with injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9464811036496404
2014/15,(a) Physical violence (%),Wounding,,,,,,,,,,Undefined,Units,Percentage (%),,0.4546042998741819
2014/15,(a) Physical violence (%),Assault with minor injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.503974030942816
2014/15,(a) Physical violence (%),Violence without injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9155887446433971
2014/15,(a) Physical violence (%),,Men,,,,,,,,,Undefined,Units,Percentage (%),,2.3670417915407413
2014/15,(a) Physical violence (%),,Women,,,,,,,,,Undefined,Units,Percentage (%),,1.273439522203381
2014/15,(a) Physical violence (%),,,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,4.175894954679529
2014/15,(a) Physical violence (%),,,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,2.5159128071761647
2014/15,(a) Physical violence (%),,,35 to 44,,,,,,,,Undefined,Units,Percentage (%),,2.0193851947759325
2014/15,(a) Physical violence (%),,,45 to 54,,,,,,,,Undefined,Units,Percentage (%),,1.7231589954258064
2014/15,(a) Physical violence (%),,,55 to 64,,,,,,,,Undefined,Units,Percentage (%),,0.7909257201260474
2014/15,(a) Physical violence (%),,,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,0.4042600421685891
2014/15,(a) Physical violence (%),,,75 and over,,,,,,,,Undefined,Units,Percentage (%),,0.14230703344074883
2014/15,(a) Physical violence (%),,,,White,,,,,,,Undefined,Units,Percentage (%),,1.7858373046945302
2014/15,(a) Physical violence (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Undefined,Units,Percentage (%),,1.8046327357244505
2014/15,(a) Physical violence (%),,,,White,Irish,,,,,,Undefined,Units,Percentage (%),,1.3359583464756133
2014/15,(a) Physical violence (%),,,,White,Gypsy/Irish traveller,,,,,,Undefined,Units,Percentage (%),,
2014/15,(a) Physical violence (%),,,,White,Any other white background,,,,,,Undefined,Units,Percentage (%),,1.5939166895599364
2014/15,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,,,,,,,Undefined,Units,Percentage (%),,5.792957331720819
2014/15,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,Undefined,Units,Percentage (%),,7.282570690386362
2014/15,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black African,,,,,,Undefined,Units,Percentage (%),,
2014/15,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Asian,,,,,,Undefined,Units,Percentage (%),,9.458545571742636
2014/15,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,Any other mixed/multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,3.6458644409652012
2014/15,(a) Physical violence (%),,,,Asian/Asian British,,,,,,,Undefined,Units,Percentage (%),,1.234222986442462
2014/15,(a) Physical violence (%),,,,Asian/Asian British,Indian,,,,,,Undefined,Units,Percentage (%),,0.8782902516433493
2014/15,(a) Physical violence (%),,,,Asian/Asian British,Pakistani,,,,,,Undefined,Units,Percentage (%),,0.9444369621179521
2014/15,(a) Physical violence (%),,,,Asian/Asian British,Bangladeshi,,,,,,Undefined,Units,Percentage (%),,2.2860497040258934
2014/15,(a) Physical violence (%),,,,Asian/Asian British,Chinese,,,,,,Undefined,Units,Percentage (%),,1.8845124741563826
2014/15,(a) Physical violence (%),,,,Asian/Asian British,Any other Asian background,,,,,,Undefined,Units,Percentage (%),,1.6400551794241816
2014/15,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,,,,,,,Undefined,Units,Percentage (%),,2.449862349834921
2014/15,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,African,,,,,,Undefined,Units,Percentage (%),,2.7055327656662027
2014/15,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Undefined,Units,Percentage (%),,0.7027000439685391
