Year,Country,Region,Ethnic Group,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,,,,,Undefined,Units,"Rate per 100,000 population",,11.4
2001,,,,,Undefined,Units,"Rate per 100,000 population",,11.4
2002,,,,,Undefined,Units,"Rate per 100,000 population",,12.3
2003,,,,,Undefined,Units,"Rate per 100,000 population",,12.1
2004,,,,,Undefined,Units,"Rate per 100,000 population",,12.7
2005,,,,,Undefined,Units,"Rate per 100,000 population",,13.7
2006,,,,,Undefined,Units,"Rate per 100,000 population",,13.7
2007,,,,,Undefined,Units,"Rate per 100,000 population",,13.5
2008,,,,,Undefined,Units,"Rate per 100,000 population",,13.7
2009,,,,,Undefined,Units,"Rate per 100,000 population",,14.2
2010,,,,,Undefined,Units,"Rate per 100,000 population",,13.4
2011,,,,,Undefined,Units,"Rate per 100,000 population",,14.1
2012,,,,,Undefined,Units,"Rate per 100,000 population",,13.7
2013,,,,,Undefined,Units,"Rate per 100,000 population",,12.3
2014,,,,,Undefined,Units,"Rate per 100,000 population",,10.9
2015,,,,,Undefined,Units,"Rate per 100,000 population",,9.6
2016,,,,,Undefined,Units,"Rate per 100,000 population",,9.3
2017,,,,,Undefined,Units,"Rate per 100,000 population",,8.4
2018,,,,,Undefined,Units,"Rate per 100,000 population",,7.6
2000,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,12.3
2000,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.3
2000,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.4
2000,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,8.0
2001,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,12.5
2001,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.3
2001,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.4
2001,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,6.9
