Year,Series,Units,Observation status,Unit multiplier,Value
2000,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.3253464512157933
2001,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.368923294331568
2002,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.3803790662164148
2003,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.4730312240380379
2004,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.4730661038139659
2005,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.4730661046045423
2006,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.5413616135662898
2007,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.5979992469195756
2008,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.9018223279084736
2009,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,2.115463798493388
2010,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,4.279807615395909
2011,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,5.688616970624443
2012,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,8.473450749353423
2013,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,9.498186733112725
2014,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,16.34022624272952
2015,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,16.35664490993077
2016,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,18.849389905356716
2017,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,23.467485931694203
2018,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,23.653015181324324
2019,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,24.65106347672882
2020,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.19800322758434
2021,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.20005071287396
2022,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.20005071287396
2000,Protected marine area (square kilometres),Square km,Normal value,Unit,11735.015082999998
2001,Protected marine area (square kilometres),Square km,Normal value,Unit,12120.857525000001
2002,Protected marine area (square kilometres),Square km,Normal value,Unit,12222.290366000001
2003,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.660366999999
2004,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.969202999999
2005,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.96921
2006,Protected marine area (square kilometres),Square km,Normal value,Unit,13647.678134999998
2007,Protected marine area (square kilometres),Square km,Normal value,Unit,14149.164732
2008,Protected marine area (square kilometres),Square km,Normal value,Unit,16839.305438
2009,Protected marine area (square kilometres),Square km,Normal value,Unit,18730.951111000002
2010,Protected marine area (square kilometres),Square km,Normal value,Unit,37894.700569
2011,Protected marine area (square kilometres),Square km,Normal value,Unit,50368.721243
2012,Protected marine area (square kilometres),Square km,Normal value,Unit,75026.47497000001
2013,Protected marine area (square kilometres),Square km,Normal value,Unit,84099.79479100001
2014,Protected marine area (square kilometres),Square km,Normal value,Unit,144681.265221
2015,Protected marine area (square kilometres),Square km,Normal value,Unit,144826.641026
2016,Protected marine area (square kilometres),Square km,Normal value,Unit,166898.15303899997
2017,Protected marine area (square kilometres),Square km,Normal value,Unit,207788.16068499998
2018,Protected marine area (square kilometres),Square km,Normal value,Unit,209430.89231999998
2019,Protected marine area (square kilometres),Square km,Normal value,Unit,218267.91134199998
2020,Protected marine area (square kilometres),Square km,Normal value,Unit,338216.579978
2021,Protected marine area (square kilometres),Square km,Normal value,Unit,338234.70902699995
2022,Protected marine area (square kilometres),Square km,Normal value,Unit,338234.70902699995
2000,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,77.02075
2001,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,78.14117
2002,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,78.77063
2003,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,79.37876
2004,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,80.85462
2005,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,82.47817
2006,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,82.711
2007,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,82.72748
2008,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,82.73494
2009,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,83.30315
2010,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.23139
2011,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.27979
2012,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.28271
2013,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.28271
2014,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.47896
2015,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.47896
2016,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.47967
2017,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,84.98712
2018,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,85.27758
2019,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,85.29664
2020,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,85.29664
2021,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal value,Unit,85.29664
