Year,Revenue category,Source of revenue,Value
1998,Central government revenue,,23.217074888994695
1999,Central government revenue,,23.902263554155045
2000,Central government revenue,,24.925145673379568
2001,Central government revenue,,25.011787771715493
2002,Central government revenue,,24.685408692756123
2003,Central government revenue,,25.213065200050377
2004,Central government revenue,,26.89707966187273
2005,Central government revenue,,28.072957969865186
2006,Central government revenue,,28.93795559245982
2007,Central government revenue,,29.89576341080495
2008,Central government revenue,,31.510390361967545
2009,Central government revenue,,30.08805768947207
2010,Central government revenue,,31.586185398769633
2011,Central government revenue,,32.53848079230068
2012,Central government revenue,,33.208412589654806
2013,Central government revenue,,33.91967283192612
2014,Central government revenue,,33.629164456044
2015,Central government revenue,,34.16362473984484
2016,Central government revenue,,35.33884329411573
2017,Central government revenue,,36.842128922053405
1998,Local government revenue,,6.029510930333264
1999,Local government revenue,,6.245803626779697
2000,Local government revenue,,6.3487633231285745
2001,Local government revenue,,6.803293644020411
2002,Local government revenue,,7.20036545738638
2003,Local government revenue,,7.650405138754776
2004,Local government revenue,,8.062705440427479
2005,Local government revenue,,8.412810921706097
2006,Local government revenue,,8.999672652077063
2007,Local government revenue,,9.043885255775335
2008,Local government revenue,,9.482778345455468
2009,Local government revenue,,10.354719382774404
2010,Local government revenue,,10.651238161598195
2011,Local government revenue,,10.152761867823608
2012,Local government revenue,,10.019443847069892
2013,Local government revenue,,9.625537406779152
2014,Local government revenue,,9.585859349915605
2015,Local government revenue,,9.282635873736305
2016,Local government revenue,,8.831880190340408
2017,Local government revenue,,8.791093529922984
1998,,,29.246585819327958
1999,,,30.14806718093474
2000,,,31.273908996508144
2001,,,31.815081415735907
2002,,,31.885774150142502
2003,,,32.86347033880516
2004,,,34.95978510230021
2005,,,36.48576889157128
2006,,,37.93762824453688
2007,,,38.939648666580275
2008,,,40.99316870742301
2009,,,40.44277707224647
2010,,,42.23742356036782
2011,,,42.691242660124296
2012,,,43.2278564367247
2013,,,43.545210238705266
2014,,,43.2150238059596
2015,,,43.446260613581146
2016,,,44.17072348445614
2017,,,45.63322245197639
1998,Central government revenue,Taxes,17.85032829419871
1999,Central government revenue,Taxes,18.394673728285834
2000,Central government revenue,Taxes,19.21247599012165
2001,Central government revenue,Taxes,19.049562266574327
2002,Central government revenue,Taxes,18.830880893941433
2003,Central government revenue,Taxes,18.96243236368396
2004,Central government revenue,Taxes,19.94511735704302
2005,Central government revenue,Taxes,20.722947793926718
2006,Central government revenue,Taxes,21.486113946732395
2007,Central government revenue,Taxes,22.14572879133273
2008,Central government revenue,Taxes,22.075549932725078
2009,Central government revenue,Taxes,21.493850998393178
2010,Central government revenue,Taxes,23.07875230350316
2011,Central government revenue,Taxes,23.974785102871007
2012,Central government revenue,Taxes,23.65130886153747
2013,Central government revenue,Taxes,24.087095974928733
2014,Central government revenue,Taxes,24.22833620648159
2015,Central government revenue,Taxes,24.584643261186738
2016,Central government revenue,Taxes,25.476104886256778
2017,Central government revenue,Taxes,26.43356608428981
1998,Local government revenue,Taxes,0.8049545386322882
1999,Local government revenue,Taxes,0.8459192640404996
2000,Local government revenue,Taxes,0.8960997734866378
2001,Local government revenue,Taxes,0.9449836409925403
2002,Local government revenue,Taxes,1.0090911352977092
2003,Local government revenue,Taxes,1.096257807039857
2004,Local government revenue,Taxes,1.1545382540708047
2005,Local government revenue,Taxes,1.1832745000339198
2006,Local government revenue,Taxes,1.2169472696103647
2007,Local government revenue,Taxes,1.2513062246645248
2008,Local government revenue,Taxes,1.3135770335526349
2009,Local government revenue,Taxes,1.4095408166536212
2010,Local government revenue,Taxes,1.4236451734159692
2011,Local government revenue,Taxes,1.4143636068442367
2012,Local government revenue,Taxes,1.4120823032095406
2013,Local government revenue,Taxes,1.4400731880644642
2014,Local government revenue,Taxes,1.4497805598857019
2015,Local government revenue,Taxes,1.4641560843101695
2016,Local government revenue,Taxes,1.509247919801942
2017,Local government revenue,Taxes,1.571918047688973
1998,,Taxes,18.655282832831
1999,,Taxes,19.240592992326334
2000,,Taxes,20.10857576360829
2001,,Taxes,19.994545907566867
2002,,Taxes,19.839972029239142
2003,,Taxes,20.058690170723818
2004,,Taxes,21.09965561111383
2005,,Taxes,21.90622229396064
2006,,Taxes,22.70306121634276
2007,,Taxes,23.397035015997254
2008,,Taxes,23.38912696627771
2009,,Taxes,22.9033918150468
2010,,Taxes,24.50239747691913
2011,,Taxes,25.389148709715244
2012,,Taxes,25.063391164747014
2013,,Taxes,25.527169162993196
2014,,Taxes,25.678116766367292
2015,,Taxes,26.048799345496903
2016,,Taxes,26.98535280605872
2017,,Taxes,28.00548413197878
1998,Central government revenue,National insurance contributions,3.8052396371708173
1999,Central government revenue,National insurance contributions,3.9479479256609653
2000,Central government revenue,National insurance contributions,4.052221821683947
2001,Central government revenue,National insurance contributions,4.12817248011447
2002,Central government revenue,National insurance contributions,4.045679621220773
2003,Central government revenue,National insurance contributions,4.416889136947025
2004,Central government revenue,National insurance contributions,4.779097060478887
2005,Central government revenue,National insurance contributions,4.939365442512965
2006,Central government revenue,National insurance contributions,5.1069697733543356
2007,Central government revenue,National insurance contributions,5.183744586710238
2008,Central government revenue,National insurance contributions,5.486854463499936
2009,Central government revenue,National insurance contributions,5.504406964186531
2010,Central government revenue,National insurance contributions,5.578030309975888
2011,Central government revenue,National insurance contributions,5.718620058268015
2012,Central government revenue,National insurance contributions,5.796978229448509
2013,Central government revenue,National insurance contributions,5.7769016508156055
2014,Central government revenue,National insurance contributions,5.772039356929647
2015,Central government revenue,National insurance contributions,5.8952309237207245
2016,Central government revenue,National insurance contributions,6.18423537870064
2017,Central government revenue,National insurance contributions,6.55708392020538
1998,,National insurance contributions,3.8052396371708173
1999,,National insurance contributions,3.9479479256609653
2000,,National insurance contributions,4.052221821683947
2001,,National insurance contributions,4.12817248011447
2002,,National insurance contributions,4.045679621220773
2003,,National insurance contributions,4.416889136947025
2004,,National insurance contributions,4.779097060478887
2005,,National insurance contributions,4.939365442512965
2006,,National insurance contributions,5.1069697733543356
2007,,National insurance contributions,5.183744586710238
2008,,National insurance contributions,5.486854463499936
2009,,National insurance contributions,5.504406964186531
2010,,National insurance contributions,5.578030309975888
2011,,National insurance contributions,5.718620058268015
2012,,National insurance contributions,5.796978229448509
2013,,National insurance contributions,5.7769016508156055
2014,,National insurance contributions,5.772039356929647
2015,,National insurance contributions,5.8952309237207245
2016,,National insurance contributions,6.18423537870064
2017,,National insurance contributions,6.55708392020538
1998,Central government revenue,Interest and dividends,0.6040211102182332
1999,Central government revenue,Interest and dividends,0.5427019460039395
2000,Central government revenue,Interest and dividends,0.5414664722561484
2001,Central government revenue,Interest and dividends,0.5391965480957435
2002,Central government revenue,Interest and dividends,0.4478256625350671
2003,Central government revenue,Interest and dividends,0.46521190448554417
2004,Central government revenue,Interest and dividends,0.43620179294560785
2005,Central government revenue,Interest and dividends,0.40440583046184725
2006,Central government revenue,Interest and dividends,0.3717737124790275
2007,Central government revenue,Interest and dividends,0.4285584785451034
2008,Central government revenue,Interest and dividends,0.5306654776128815
2009,Central government revenue,Interest and dividends,0.49399495397792414
2010,Central government revenue,Interest and dividends,0.44534394396413407
2011,Central government revenue,Interest and dividends,0.4472701525250976
2012,Central government revenue,Interest and dividends,0.6562784621189515
2013,Central government revenue,Interest and dividends,1.453469217720878
2014,Central government revenue,Interest and dividends,0.8844782815910982
2015,Central government revenue,Interest and dividends,0.8968408235451596
2016,Central government revenue,Interest and dividends,0.925096622331081
2017,Central government revenue,Interest and dividends,1.0045751046380373
1998,Local government revenue,Interest and dividends,0.024703752456910266
1999,Local government revenue,Interest and dividends,-0.0025047782123258744
2000,Local government revenue,Interest and dividends,0.0043715464782821565
2001,Local government revenue,Interest and dividends,-0.04839362590550033
2002,Local government revenue,Interest and dividends,-0.08460134328558186
2003,Local government revenue,Interest and dividends,-0.1395327012790086
2004,Local government revenue,Interest and dividends,-0.09621654816045422
2005,Local government revenue,Interest and dividends,-0.06936013231059303
2006,Local government revenue,Interest and dividends,-0.06632502341050912
2007,Local government revenue,Interest and dividends,-0.028529781922351168
2008,Local government revenue,Interest and dividends,0.003180979306334446
2009,Local government revenue,Interest and dividends,-0.07308514302599302
2010,Local government revenue,Interest and dividends,-0.07913278263181539
2011,Local government revenue,Interest and dividends,-0.053329665274608314
2012,Local government revenue,Interest and dividends,-0.13375633008639423
2013,Local government revenue,Interest and dividends,-0.02700988093325673
2014,Local government revenue,Interest and dividends,-0.039777983838078214
2015,Local government revenue,Interest and dividends,-0.043464711150894904
2016,Local government revenue,Interest and dividends,-0.04204061488968908
2017,Local government revenue,Interest and dividends,-0.049197358826056116
1998,,Interest and dividends,0.6287248626751435
1999,,Interest and dividends,0.5401971677916135
2000,,Interest and dividends,0.5458380187344305
2001,,Interest and dividends,0.4908029221902432
2002,,Interest and dividends,0.3632243192494853
2003,,Interest and dividends,0.3256792032065356
2004,,Interest and dividends,0.3399852447851536
2005,,Interest and dividends,0.33504569815125423
2006,,Interest and dividends,0.30544868906851835
2007,,Interest and dividends,0.4000286966227523
2008,,Interest and dividends,0.533846456919216
2009,,Interest and dividends,0.4209098109519311
2010,,Interest and dividends,0.36621116133231874
2011,,Interest and dividends,0.39394048725048936
2012,,Interest and dividends,0.5225221320325572
2013,,Interest and dividends,1.426459336787621
2014,,Interest and dividends,0.8447002977530199
2015,,Interest and dividends,0.8533761123942647
2016,,Interest and dividends,0.8830560074413919
2017,,Interest and dividends,0.9553777458119812
1998,Central government revenue,Other receipts,0.7042005714897153
1999,Central government revenue,Other receipts,0.6829695258941885
2000,Central government revenue,Other receipts,0.7357648995754892
2001,Central government revenue,Other receipts,0.7636383374304423
2002,Central government revenue,Other receipts,0.772322217550504
2003,Central government revenue,Other receipts,0.7970651210230093
2004,Central government revenue,Other receipts,0.7964558528918352
2005,Central government revenue,Other receipts,0.8146599014220582
2006,Central government revenue,Other receipts,0.8219056211455352
2007,Central government revenue,Other receipts,0.8232482686092871
2008,Central government revenue,Other receipts,0.8891116194477262
2009,Central government revenue,Other receipts,0.9754593611052992
2010,Central government revenue,Other receipts,1.0175524648629817
2011,Central government revenue,Other receipts,1.0566715073015416
2012,Central government revenue,Other receipts,1.139457228259873
2013,Central government revenue,Other receipts,1.1881624840377594
2014,Central government revenue,Other receipts,1.262739401838568
2015,Central government revenue,Other receipts,1.2168051835156595
2016,Central government revenue,Other receipts,1.1645453419201797
2017,Central government revenue,Other receipts,1.2022635779715705
1998,Local government revenue,Other receipts,0.2851703517627635
1999,Local government revenue,Other receipts,0.29083258132005985
2000,Local government revenue,Other receipts,0.29719790596198237
2001,Local government revenue,Other receipts,0.3072995244999271
2002,Local government revenue,Other receipts,0.32373093199927777
2003,Local government revenue,Other receipts,0.33222365733732095
2004,Local government revenue,Other receipts,0.3516880725864878
2005,Local government revenue,Other receipts,0.37598338163979983
2006,Local government revenue,Other receipts,0.40051645693207705
2007,Local government revenue,Other receipts,0.41287544052930814
2008,Local government revenue,Other receipts,0.4380822378022
2009,Local government revenue,Other receipts,0.483038010685351
2010,Local government revenue,Other receipts,0.5008686842756686
2011,Local government revenue,Other receipts,0.5214017696880046
2012,Local government revenue,Other receipts,0.5420826755267038
2013,Local government revenue,Other receipts,0.5603461185548625
2014,Local government revenue,Other receipts,0.5711208663560245
2015,Local government revenue,Other receipts,0.584783836709127
2016,Local government revenue,Other receipts,0.6042576785050601
2017,Local government revenue,Other receipts,0.6168399812200945
1998,,Other receipts,0.9893709232524788
1999,,Other receipts,0.9738021072142482
2000,,Other receipts,1.0329628055374716
2001,,Other receipts,1.0709378619303693
2002,,Other receipts,1.0960531495497816
2003,,Other receipts,1.1292887783603303
2004,,Other receipts,1.1481439254783228
2005,,Other receipts,1.190643283061858
2006,,Other receipts,1.2224220780776123
2007,,Other receipts,1.236123709138595
2008,,Other receipts,1.3271938572499262
2009,,Other receipts,1.4584973717906502
2010,,Other receipts,1.5184211491386501
2011,,Other receipts,1.5780732769895462
2012,,Other receipts,1.6815399037865768
2013,,Other receipts,1.748508602592622
2014,,Other receipts,1.8338602681945926
2015,,Other receipts,1.8015890202247864
2016,,Other receipts,1.7688030204252396
2017,,Other receipts,1.8191035591916649
1998,Central government revenue,Market output and output for own final use,0.20150793428514593
1999,Central government revenue,Market output and output for own final use,0.22410807283060116
2000,Central government revenue,Market output and output for own final use,0.22563905284056365
2001,Central government revenue,Market output and output for own final use,0.27381636711666196
2002,Central government revenue,Market output and output for own final use,0.28972450969821056
2003,Central government revenue,Market output and output for own final use,0.2939447746855575
2004,Central government revenue,Market output and output for own final use,0.5818839019158253
2005,Central government revenue,Market output and output for own final use,0.7198014405385995
2006,Central government revenue,Market output and output for own final use,0.7721761109013702
2007,Central government revenue,Market output and output for own final use,0.879473628304213
2008,Central government revenue,Market output and output for own final use,0.9221491589100067
2009,Central government revenue,Market output and output for own final use,1.0947618234451777
2010,Central government revenue,Market output and output for own final use,1.0780623985770998
2011,Central government revenue,Market output and output for own final use,1.0019888695463934
2012,Central government revenue,Market output and output for own final use,0.9119547706887478
2013,Central government revenue,Market output and output for own final use,0.9905438189031048
2014,Central government revenue,Market output and output for own final use,1.0052404319931363
2015,Central government revenue,Market output and output for own final use,1.0197410412821728
2016,Central government revenue,Market output and output for own final use,1.0667552159811202
2017,Central government revenue,Market output and output for own final use,1.1585603404357336
1998,Local government revenue,Market output,0.7031951862153062
1999,Local government revenue,Market output,0.7627049656532288
2000,Local government revenue,Market output,0.8336202861278051
2001,Local government revenue,Market output,0.9392941201090558
2002,Local government revenue,Market output,1.019809857523937
2003,Local government revenue,Market output,1.0660051417183019
2004,Local government revenue,Market output,1.0814860660944345
2005,Local government revenue,Market output,1.1416935100905543
2006,Local government revenue,Market output,1.330891720834954
2007,Local government revenue,Market output,1.3067529938196594
2008,Local government revenue,Market output,1.3457216665429619
2009,Local government revenue,Market output,1.477497177712878
2010,Local government revenue,Market output,1.487593171545662
2011,Local government revenue,Market output,1.3995936572650112
2012,Local government revenue,Market output,1.3602913187307208
2013,Local government revenue,Market output,1.3551772115020706
2014,Local government revenue,Market output,1.3659928918012392
2015,Local government revenue,Market output,1.3591895821134186
2016,Local government revenue,Market output,1.3405269496589025
2017,Local government revenue,Market output,1.3603943780155234
1998,,Market output,0.9047031205004521
1999,,Market output,0.98681303848383
2000,,Market output,1.0592593389683689
2001,,Market output,1.2131104872257177
2002,,Market output,1.3095343672221473
