Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2004,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1271.7455485836701
2005,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1276.695301466355
2006,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1280.0813269511734
2007,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1283.0203452145342
2008,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1285.4143899966346
2009,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1287.737978952719
2010,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1289.8530000000003
2011,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1292.385
2012,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1297.6843200000003
2013,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1298.224190199
2014,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1301.9131370081127
2015,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1305.0382400361796
2016,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1305.2808116413396
2017,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1306.1742485117675
2018,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1307.4834495674045
2019,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1308.986095455461
2020,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1311.3253589350738
2021,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1320.0
2022,Area (000s hectares),1) Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1320.0
2005,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.3892093735415314
2006,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.265217979648665
2007,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.2295962140437547
2008,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.18659445199210278
2009,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.18076574948646862
2010,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.16424312102695157
2011,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.19630143900117042
2012,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.41004189927926254
2013,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.04160258320758351
2014,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.28415329470536943
2015,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.24003928827760562
2016,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.018587317805600016
2017,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.0684478667317832
2018,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.10023173073031996
2019,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.1149265704704362
2020,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.17870804645935184
2021,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.6615170678900557
2022,Growth rate (%),1) Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.0
2004,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,85.8
2005,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,85.06
2006,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,85.64
2007,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,86.84
2008,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,87.355
2009,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,87.677
2010,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,87.812
2011,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,87.957
2012,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,105.218
2013,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.016
2014,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.463
2015,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.912
2016,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.087
2017,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.378
2018,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.617
2019,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,113.005
2020,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.381
2021,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.506
2022,Area (000s hectares),1) Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,120.0
2005,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,-0.8624708624708625
2006,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.6818716200329179
2007,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,1.4012143858010275
2008,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.5930446798710272
2009,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.3686108408219335
2010,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.15397424638160523
2011,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.16512549537648613
2012,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,19.624361904112238
2013,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,5.510463989051303
2014,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.4026446638322404
2015,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.40282425558257
2016,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.156372864393452
2017,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.2596197596509854
2018,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.2126750787520689
2019,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.34453057708871665
2020,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,4.757311623379497
2021,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.10559126886915975
2022,Growth rate (%),1) Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,1.2606956609791908
2004,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1352.2063694393214
2005,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1357.7842821920183
2006,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1361.700956363034
2007,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1368.1683248607985
2008,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1372.271613615094
2009,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1375.6423592803974
2010,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1378.3039999999999
2011,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1383.406
2012,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1403.02642
2013,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1410.6633639950003
2014,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1424.2545448865367
2015,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1431.6393400000002
2016,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1435.0176547551662
2017,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1437.6561487574545
2018,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1445.9364286372102
2019,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1456.1055269563699
2020,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1467.1506549563696
2021,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1480.0
2022,Area (000s hectares),1) Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1490.0
