Year,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2005,,,Undefined,Units,Percentage (%),11.8
2005,,15 and under,Undefined,Units,Percentage (%),13.6
2005,,16 to 24,Undefined,Units,Percentage (%),17.3
2005,,25 to 49,Undefined,Units,Percentage (%),8.9
2005,,50 to 64,Undefined,Units,Percentage (%),10.4
2005,,65 and over,Undefined,Units,Percentage (%),13.7
2005,Males,,Undefined,Units,Percentage (%),11.9
2005,Males,15 and under,Undefined,Units,Percentage (%),14.4
2005,Males,16 to 24,Undefined,Units,Percentage (%),19.5
2005,Males,25 to 49,Undefined,Units,Percentage (%),8.5
2005,Males,50 to 64,Undefined,Units,Percentage (%),10.9
2005,Males,65 and over,Undefined,Units,Percentage (%),11.7
2005,Females,,Undefined,Units,Percentage (%),11.7
2005,Females,15 and under,Undefined,Units,Percentage (%),12.9
2005,Females,16 to 24,Undefined,Units,Percentage (%),15.1
2005,Females,25 to 49,Undefined,Units,Percentage (%),9.2
2005,Females,50 to 64,Undefined,Units,Percentage (%),9.9
2005,Females,65 and over,Undefined,Units,Percentage (%),15.2
2006,,,Undefined,Units,Percentage (%),11.8
2006,,15 and under,Undefined,Units,Percentage (%),14.5
2006,,16 to 24,Undefined,Units,Percentage (%),14.2
2006,,25 to 49,Undefined,Units,Percentage (%),8.8
2006,,50 to 64,Undefined,Units,Percentage (%),11.1
2006,,65 and over,Undefined,Units,Percentage (%),14.0
2006,Males,,Undefined,Units,Percentage (%),11.1
2006,Males,15 and under,Undefined,Units,Percentage (%),14.2
2006,Males,16 to 24,Undefined,Units,Percentage (%),13.2
2006,Males,25 to 49,Undefined,Units,Percentage (%),8.4
2006,Males,50 to 64,Undefined,Units,Percentage (%),11.2
2006,Males,65 and over,Undefined,Units,Percentage (%),11.5
2006,Females,,Undefined,Units,Percentage (%),12.4
2006,Females,15 and under,Undefined,Units,Percentage (%),14.8
2006,Females,16 to 24,Undefined,Units,Percentage (%),15.4
2006,Females,25 to 49,Undefined,Units,Percentage (%),9.2
2006,Females,50 to 64,Undefined,Units,Percentage (%),11.0
2006,Females,65 and over,Undefined,Units,Percentage (%),15.9
2007,,,Undefined,Units,Percentage (%),11.2
2007,,15 and under,Undefined,Units,Percentage (%),13.3
2007,,16 to 24,Undefined,Units,Percentage (%),13.2
2007,,25 to 49,Undefined,Units,Percentage (%),8.3
2007,,50 to 64,Undefined,Units,Percentage (%),9.8
2007,,65 and over,Undefined,Units,Percentage (%),15.0
2007,Males,,Undefined,Units,Percentage (%),10.6
2007,Males,15 and under,Undefined,Units,Percentage (%),13.4
2007,Males,16 to 24,Undefined,Units,Percentage (%),12.0
2007,Males,25 to 49,Undefined,Units,Percentage (%),8.3
2007,Males,50 to 64,Undefined,Units,Percentage (%),9.7
2007,Males,65 and over,Undefined,Units,Percentage (%),12.4
2007,Females,,Undefined,Units,Percentage (%),11.7
2007,Females,15 and under,Undefined,Units,Percentage (%),13.3
2007,Females,16 to 24,Undefined,Units,Percentage (%),14.5
2007,Females,25 to 49,Undefined,Units,Percentage (%),8.4
2007,Females,50 to 64,Undefined,Units,Percentage (%),9.8
2007,Females,65 and over,Undefined,Units,Percentage (%),17.0
2008,,,Undefined,Units,Percentage (%),11.3
2008,,15 and under,Undefined,Units,Percentage (%),13.7
2008,,16 to 24,Undefined,Units,Percentage (%),12.5
2008,,25 to 49,Undefined,Units,Percentage (%),8.4
2008,,50 to 64,Undefined,Units,Percentage (%),10.0
2008,,65 and over,Undefined,Units,Percentage (%),15.3
2008,Males,,Undefined,Units,Percentage (%),10.5
2008,Males,15 and under,Undefined,Units,Percentage (%),13.0
2008,Males,16 to 24,Undefined,Units,Percentage (%),11.5
2008,Males,25 to 49,Undefined,Units,Percentage (%),8.2
2008,Males,50 to 64,Undefined,Units,Percentage (%),10.3
2008,Males,65 and over,Undefined,Units,Percentage (%),12.3
2008,Females,,Undefined,Units,Percentage (%),12.0
2008,Females,15 and under,Undefined,Units,Percentage (%),14.6
2008,Females,16 to 24,Undefined,Units,Percentage (%),13.6
2008,Females,25 to 49,Undefined,Units,Percentage (%),8.5
2008,Females,50 to 64,Undefined,Units,Percentage (%),9.7
2008,Females,65 and over,Undefined,Units,Percentage (%),17.7
2009,,,Undefined,Units,Percentage (%),10.2
2009,,15 and under,Undefined,Units,Percentage (%),12.2
2009,,16 to 24,Undefined,Units,Percentage (%),13.0
