Year,Observation status,Unit multiplier,Unit measure,Value
2004,Estimate,Units,Percentage (%),0.5
2005,Estimate,Units,Percentage (%),0.5
2006,Estimate,Units,Percentage (%),0.2
2007,Estimate,Units,Percentage (%),0.2
2008,Estimate,Units,Percentage (%),0.2
2009,Estimate,Units,Percentage (%),0.2
2010,Estimate,Units,Percentage (%),0.2
2011,Estimate,Units,Percentage (%),0.2
2012,Estimate,Units,Percentage (%),0.2
2013,Estimate,Units,Percentage (%),0.2
2014,Estimate,Units,Percentage (%),0.2
2015,Estimate,Units,Percentage (%),0.2
