Value,Disaggregation combinations using this value,Number of indicators
1: Listening and Attention,594,1
10: Writing,594,1
11: Numbers,594,1
"12: Shape, space and measures",594,1
13: People and communities,594,1
14: The World,594,1
15: Technology,594,1
16: Exploring and using media and materials,594,1
17: Being imaginative,594,1
2: Understanding,594,1
3: Speaking,594,1
4: Moving and Handling,594,1
5: Health and Self-Care,594,1
6: Self-confidence and Self-awareness,594,1
7: Managing feelings and behaviour,594,1
8: Making relationships,594,1
9: Reading,594,1
