Disaggregation,Number of indicators,Number of values
Abuse sub-category,1,6
Abuse type,2,4
Activity (default),1,1
Age at which FGM took place,1,8
Age (default),2,2
Age group,1,2
Age of oldest person,1,3
Age of youngest person,1,3
Age,48,99
Aid description (CRS code),1,2
Bank account category,1,20
Beverage,1,4
Bioenergy,2,3
Birthweight (grams),1,12
BMI Classifications,1,3
Cause of death,4,15
Chronic respiratory disease subtype,1,8
Citizenship,1,4
Completeness of disaggregation,1,3
Contact sexual abuse type,1,2
Contraceptive method,1,2
Corruption offence type,2,4
Country group,2,3
Country Group,1,3
Country income classification,12,8
Country of birth,15,38
Country,39,8
Death classification,1,2
Decent homes criteria,1,4
Deprivation decile,1,10
Deprivation level,1,2
Deprivation quantile,1,5
Deprivation quintile,1,5
Deviation level,1,4
Disability status (household),1,2
Disability status,17,11
Disposable income decile,1,10
Disposal method,1,5
Economic activity,1,17
Ecosystem type,1,9
Education category,1,2
Education indicator,1,36
Educational measure,1,8
Educational subject,1,2
Employment status,3,16
Ethnic group,10,43
Ethnic Group,1,4
Ethnicity of household reference person (HRP),1,5
Ethnicity,18,36
Exposure category,1,3
Facility type,1,3
Fatality,1,2
FGM type,1,8
Flight category,1,2
Food security level,1,2
Free school meals,1,2
Free School Meals,1,2
Frequency of sexual assault,1,4
Gas,1,7
Gender,1,2
Geography (HydroBASINs ID),1,37
Goal,1,13
Health Board,1,7
Health product or service category,1,4
Health product or service sub-category,1,9
Health product or service,1,2
Highest qualification,5,15
Household composition - adults over State Pension age,1,1
Household composition - children,1,2
Household composition - disabled adults,1,3
Household composition - unemployed adults,1,1
Household income,8,34
Household income (£),1,8
Household Waste disposal routes,1,5
IHR core capacity,1,13
IMD Deciles (England),1,10
IMD Quintiles,1,5
Import type,2,10
Income group,1,1
Income quartile,1,4
Income quintile (household),1,5
Income,1,7
Index of Multiple Deprivation (IMD),1,5
Industry higher sub-category,2,61
Industry lower sub-category,2,54
Industry middle sub-category,2,70
Industry sector,4,30
Inputs,1,2
Institution,2,11
Learning category,1,2
Learning sub-category (higher),1,7
Learning sub-category (lower),1,17
Legislative authority,1,6
Level of reporting,1,2
Local Authority,12,984
Main method of contraception,1,10
Malaria species,1,7
Manufacturing industry,1,9
Material category,4,5
Mechanism,1,8
Migratory status,1,2
Mountain elevation,1,2
Nationality,3,8
Neonatal period,1,2
Net weekly income (£),1,10
Number of adults,1,3
Number of children,1,3
Number of hours per week providing care,1,11
Number of previous live births,1,6
Occupation category,1,11
Occupation minor group,1,4
Occupation unit group,2,21
Occupation,2,9
Outputs,1,1
Performing/Funding,1,2
Place of occurrence,1,10
Poverty reduction aid type,1,5
Product group,1,34
Product sector,2,4
Product Sector,1,4
Product,1,12
Productivity,1,5
Quality measure,1,2
Recipient country,1,164
Recipient region,1,6
Region of origin,1,9
Region of travel,2,21
Region,43,17
Relationship to perpetrator,2,5
Renewable and waste source,1,17
Renewable Source,1,7
Renewable source,1,7
Residence type,1,2
Retirment status,1,2
Road category,1,5
Rural or Urban,1,3
Safely managed element,1,3
Scottish Council Area,1,31
Seasonally adjusted or not,1,2
Sector,5,22
Security,1,2
series,1,2
Service level,1,5
Sex by disability,1,2
Sex,55,8
Size of particulate matter,1,2
Skill,1,10
Socio-economic classification,2,8
Source of revenue,1,4
Source sub-category,1,2
Source,1,5
Special educational needs,2,2
Speed (mb/sec),1,3
State support detail,1,4
State support,1,3
Status classification,1,2
Sub-national area,1,3
Subject,1,3
Sustainably managed status,1,2
Tenure category,1,3
Tenure sub-category,2,8
Tenure,1,3
Theme,1,5
Total gross weekly income,1,6
Treatment type,1,6
Type of disease,1,4
Type of documentation,1,3
Type of expenditure,1,4
Type of exploitation,1,11
Type of hate crime,2,5
Type of Neglected Tropical Disease (NTD),1,2
Type of partner abuse,1,3
Type of study,1,5
Type of violence,1,5
Type (wasting or overweight),1,2
Types of contraception,1,10
Unintentional poisoning category,1,6
Urban or rural,6,3
Urban or Rural,3,2
Urbanisation (default),1,1
Urbanisation sub-category,1,6
Vaccine,1,16
Violence type,1,6
Waste collection authority,1,128
Waste type,1,2
Water area extent,1,2
Water body category,1,3
Water resources management category,1,4
Water resources management sub-category,1,32
Water type,1,3
Welsh Unitary Authority,1,22
Wind,2,2
Working Pattern,1,2
Working status,1,2
